screen_id,survivors_top10,top10_boundary_tied,r2_size_alone
5,9,True,0.4128
503,8,True,0.2357
504,7,False,0.5959
505,7,False,0.3378
506,7,False,0.4604
507,7,True,0.2123
508,7,False,0.5573
509,9,False,0.2218
510,9,False,0.2319
511,9,False,0.1963
512,8,False,0.2421
513,9,False,0.2631
514,9,False,0.2338
515,9,False,0.217
516,9,False,0.1935
517,9,False,0.2264
518,9,True,0.2299
519,9,False,0.223
520,9,False,0.2461
521,9,False,0.1905
522,9,False,0.2476
523,9,False,0.2511
524,9,False,0.2304
525,9,False,0.1926
526,9,False,0.2269
527,9,False,0.2319
528,9,False,0.2658
529,9,False,0.2469
530,9,False,0.2145
531,9,False,0.2459
532,9,False,0.2238
533,9,True,0.2746
534,9,True,0.2516
535,8,False,0.1561
536,9,False,0.2829
537,9,False,0.2721
538,8,False,0.3129
539,9,False,0.24
540,8,False,0.3074
541,8,True,0.251
542,9,True,0.2345
543,9,False,0.3101
544,8,False,0.2727
545,9,False,0.2621
546,9,True,0.2499
547,8,False,0.2952
548,8,False,0.2636
549,9,False,0.2897
550,9,False,0.3013
551,8,False,0.3044
552,8,False,0.2479
553,9,False,0.2711
554,8,True,0.2757
555,8,False,0.2573
556,8,False,0.2704
557,8,True,0.3332
558,8,False,0.3041
559,9,False,0.2476
560,9,False,0.2452
561,9,False,0.2807
562,9,False,0.2565
563,8,False,0.2902
564,9,False,0.2267
565,8,True,0.3058
566,8,False,0.2943
567,8,False,0.2788
568,8,False,0.2683
569,9,False,0.308
570,8,False,0.219
571,9,False,0.2306
572,10,False,0.1919
573,9,False,0.2629
574,9,False,0.2542
575,9,False,0.2796
576,8,False,0.2806
577,8,True,0.3079
583,7,True,0.5296
597,9,False,0.4852
6,6,True,0.4129
613,8,True,0.1294
614,7,False,0.2136
629,10,False,0.1645
66,9,True,0.3229
67,8,True,0.3035
68,7,True,0.4178
689,5,True,0.4508
69,9,False,0.271
691,9,True,0.2472
692,9,False,0.2148
693,9,False,0.1929
694,9,False,0.1985
695,9,False,0.197
696,9,False,0.1922
697,9,False,0.2106
698,10,False,0.1794
699,9,False,0.2404
70,8,True,0.2978
700,9,False,0.2182
701,9,False,0.2128
702,9,False,0.2314
703,9,False,0.1797
704,9,False,0.1871
705,9,True,0.2599
706,10,False,0.2227
707,9,False,0.2832
708,10,False,0.2836
709,9,False,0.1832
71,9,False,0.3364
710,9,False,0.206
711,9,False,0.2428
712,10,True,0.2077
713,9,False,0.1702
714,9,True,0.1426
715,9,False,0.139
716,9,True,0.1668
717,9,False,0.239
718,9,False,0.1591
719,9,False,0.2485
72,9,True,0.3274
720,9,False,0.2138
721,9,False,0.2028
722,8,True,0.2086
723,9,False,0.2089
724,8,True,0.2234
725,9,False,0.1386
726,8,False,0.1811
727,9,True,0.2053
728,9,False,0.2835
729,9,False,0.2548
73,8,True,0.2939
730,8,False,0.128
731,9,False,0.2082
732,9,False,0.246
733,9,False,0.2151
734,8,False,0.2328
735,9,False,0.2341
736,9,False,0.1562
737,9,False,0.2193
738,9,True,0.2375
739,9,False,0.1543
74,9,False,0.3123
740,9,False,0.2308
741,10,False,0.2175
742,10,False,0.1359
743,10,False,0.2177
744,9,False,0.2231
745,9,False,0.1876
746,8,False,0.1723
747,10,False,0.2216
748,8,False,0.2768
749,8,False,0.2264
75,9,True,0.4171
750,9,False,0.1819
751,8,True,0.1581
752,9,False,0.2215
753,9,False,0.1634
754,9,False,0.2561
755,9,False,0.2199
756,10,False,0.2314
757,8,False,0.2094
758,9,False,0.1967
759,9,True,0.2158
76,9,False,0.2623
760,9,False,0.2473
761,8,True,0.2206
762,9,False,0.2095
763,9,False,0.2088
764,9,False,0.1836
765,9,False,0.1826
766,9,True,0.212
767,9,False,0.118
768,9,False,0.1972
769,9,False,0.197
77,9,False,0.3241
770,9,False,0.2568
771,8,False,0.1412
772,9,False,0.24
773,8,False,0.2357
774,10,True,0.1814
775,9,False,0.2587
776,10,False,0.2537
777,9,False,0.2144
778,9,False,0.2224
779,10,True,0.2106
78,9,False,0.2794
780,9,False,0.1523
781,9,False,0.1827
782,9,False,0.1964
783,9,False,0.2008
784,8,True,0.2701
785,9,False,0.1836
786,9,False,0.1519
787,8,False,0.1905
788,9,True,0.1487
789,10,False,0.139
79,7,False,0.4226
790,10,False,0.2126
791,10,False,0.2186
792,9,False,0.1645
793,9,False,0.2004
794,9,False,0.2317
795,9,False,0.1677
796,8,False,0.2148
797,9,False,0.2331
798,10,True,0.1789
799,9,False,0.1801
80,8,False,0.3388
800,9,False,0.196
801,9,True,0.2046
802,9,False,0.202
803,9,False,0.2367
804,10,False,0.1667
805,9,False,0.2046
806,9,True,0.2344
807,9,False,0.2127
808,8,False,0.1669
809,9,False,0.192
810,9,False,0.1826
811,9,False,0.2583
812,10,False,0.2224
813,9,False,0.1942
814,8,False,0.1644
815,10,False,0.2053
816,9,False,0.2191
817,9,False,0.2022
818,9,False,0.2354
819,9,False,0.187
820,9,False,0.2177
821,8,False,0.2224
822,9,False,0.1979
823,9,False,0.1814
824,9,False,0.1612
825,9,False,0.1978
826,8,False,0.2061
827,9,False,0.2024
828,9,False,0.1802
829,9,False,0.1947
830,9,False,0.198
831,9,False,0.2049
832,10,False,0.1549
833,9,False,0.2039
834,9,False,0.2358
835,9,False,0.2325
836,9,False,0.2164
837,9,False,0.1522
838,9,False,0.2104
839,9,False,0.1941
840,9,False,0.198
841,9,False,0.1799
842,9,False,0.2203
843,10,False,0.1959
844,9,False,0.2379
845,8,False,0.2615
846,9,False,0.2042
847,8,True,0.2386
848,10,False,0.2212
849,8,True,0.124
85,7,True,0.1431
850,9,False,0.1796
851,10,True,0.2432
852,10,True,0.2289
853,9,False,0.171
854,9,False,0.2265
855,9,False,0.2035
856,8,False,0.3248
857,9,False,0.1792
858,9,True,0.1652
859,9,False,0.224
860,9,False,0.2729
861,10,False,0.2442
862,8,False,0.2161
863,9,False,0.2639
864,9,False,0.2377
865,8,False,0.1932
866,9,False,0.1836
867,10,False,0.2108
868,9,False,0.2806
869,9,False,0.2264
870,9,False,0.1941
871,8,False,0.2222
872,9,False,0.1641
873,9,False,0.1331
874,9,False,0.194
875,10,False,0.1743
876,9,True,0.1611
877,9,False,0.1674
878,9,False,0.195
879,9,False,0.2077
880,9,False,0.2061
881,9,False,0.2072
882,9,False,0.1908
883,9,False,0.2122
884,9,False,0.2186
885,9,False,0.249
886,10,False,0.1834
887,8,False,0.1939
888,9,False,0.2177
889,9,True,0.2134
89,6,False,0.7475
890,8,False,0.3052
891,9,False,0.1906
892,9,False,0.2174
893,9,True,0.213
894,9,False,0.163
895,8,False,0.2225
896,8,False,0.1551
897,8,False,0.1812
898,8,True,0.2219
899,9,False,0.151
900,9,False,0.1908
901,9,False,0.1812
902,9,False,0.2261
903,9,False,0.2284
904,10,False,0.1219
905,9,False,0.1475
906,9,False,0.212
907,8,False,0.2773
908,9,False,0.1763
909,8,False,0.2719
910,9,False,0.1912
911,9,False,0.2057
912,9,False,0.1961
913,9,True,0.2684
914,9,False,0.2099
915,9,True,0.2518
916,10,True,0.1923
917,8,False,0.2191
918,8,False,0.1586
919,9,False,0.2413
920,9,False,0.2052
921,9,False,0.1511
922,9,True,0.2135
923,8,False,0.2435
924,9,True,0.1736
925,9,False,0.2398
926,9,False,0.2109
927,10,False,0.2918
928,9,True,0.2263
929,9,False,0.2144
930,8,False,0.2574
931,9,False,0.2606
932,8,False,0.23
933,8,True,0.253
934,10,False,0.1512
935,8,False,0.2177
936,8,False,0.2058
937,10,False,0.2108
938,9,False,0.192
939,9,False,0.1779
940,8,False,0.2206
941,9,False,0.2045
942,9,False,0.268
943,9,False,0.1526
944,9,False,0.2846
945,9,False,0.2258
946,9,True,0.1895
947,9,False,0.2619
948,9,False,0.2628
949,9,False,0.2022
950,9,True,0.2284
951,9,False,0.2332
952,9,False,0.2164
