screen_id,survivors_top10,top10_boundary_tied,r2_size_alone,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
1303,9,True,0.1858,1269,17979,50,32990596,ORL-207,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1304,9,False,0.2049,1131,17986,50,32990596,ORL-214,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1305,9,False,0.2183,1399,17986,50,32990596,ORL-215,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1306,9,False,0.2038,1229,17979,50,32990596,PE/CA-PJ15,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1307,9,False,0.1811,1321,17979,50,32990596,SAS,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1308,8,True,0.1704,961,17988,50,32990596,SCC-9,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1309,9,False,0.1694,1383,17986,50,32990596,BICR 10,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1310,10,False,0.2398,1028,17988,50,32990596,HO-1-u-1,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1311,9,True,0.1265,1188,17986,50,32990596,HSC-2,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1312,9,False,0.1658,1362,17986,50,32990596,HSC-4,cell proliferation,Human Improved Genome-wide Knockout CRISPR Library
1313,7,True,0.0603,72,17376,50,32649862,hTERT-RPE1,response to chemicals,TKOv2
1314,4,True,0.033,69,17258,50,32649862,hTERT-RPE1,response to chemicals,TKOv2
1315,8,True,0.0135,72,17343,50,32649862,hTERT-RPE1,response to chemicals,TKOv2
1316,8,True,0.0598,37,17344,50,32649862,hTERT-RPE1,response to chemicals,TKOv2
1317,10,False,0.0448,50,17309,50,32649862,hTERT-RPE1,cell proliferation,TKOv2
1318,7,True,0.0813,93,17362,50,32649862,hTERT-RPE1,response to chemicals,TKOv2
1319,5,True,0.0009,37,17364,50,32649862,hTERT-RPE1,response to chemicals,TKOv2
1320,7,True,0.0941,109,17363,50,32649862,hTERT-RPE1,response to chemicals,TKOv2
1321,9,True,0.0045,90,17368,50,32649862,hTERT-RPE1,response to chemicals,TKOv2
1322,6,True,0.1624,127,17355,50,32649862,hTERT-RPE1,cell proliferation,TKOv2
1323,7,True,0.0743,57,17265,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1324,8,True,0.0738,41,17271,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1325,9,True,0.0457,99,17266,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1326,6,True,0.1225,117,17243,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1327,6,True,0.1397,140,17266,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
1328,7,True,0.1683,122,17300,50,32649862,hTERT-RPE1,response to chemicals,TKOv2
1329,7,True,0.0926,73,17287,50,32649862,hTERT-RPE1,response to chemicals,Toronto Knockout version 3 (TKOv3)
