gene,log2FC,t,p,q
PHGDH,-2.3460529682230473,-6.231319428352027,1.2058386108321597e-07,1.5229222985389567e-05
TNFRSF21,1.3076093545828464,5.867739242095633,1.206753009935782e-07,1.5229222985389567e-05
PLXNB1,0.9118584917200803,5.959303824243712,1.252227823989499e-07,1.5638499356052193e-05
ECE1,2.1249828789388148,6.143578743006628,1.2945889270542577e-07,1.6000852212838654e-05
PGD,-0.7511568140878611,-6.068163183964743,1.4078193897653916e-07,1.722280271826253e-05
ESD,-0.5913639849121859,-6.128260594074932,1.4260964177010197e-07,1.7270171668502553e-05
TPM4,0.7546594752580633,5.88359709685872,1.4465181407035186e-07,1.7342305988894485e-05
DKK3,2.059239353330331,5.99432646136941,1.5502906343099095e-07,1.8402410311625253e-05
FN1,1.8765859279647898,6.035867535431574,1.642632235954003e-07,1.930737046750249e-05
CHPT1,-1.0097118877228128,-5.868639796526444,1.6645708713082632e-07,1.937528172438327e-05
SORL1,1.533521707938296,6.04721804113287,1.6849508944935022e-07,1.942391949431019e-05
SIGMAR1,-0.5891643520182281,-5.7891566614901615,1.8788810329519754e-07,2.1453242575296414e-05
CYC1,-0.6513230158175842,-5.870701610398187,1.9265785561019217e-07,2.1741410933878187e-05
ADGRG1,1.1604947078965302,5.750353817729156,1.9403878304487164e-07,2.1741410933878187e-05
SCRN1,0.9060667557329967,5.824533127110101,1.9717687874965208e-07,2.1888459253051656e-05
PROM2,1.639345583340154,6.160220994743062,2.1463493424733618e-07,2.3607873639369848e-05
PCYT2,-1.297274738832117,-6.050293664854759,2.2562302360612612e-07,2.459085845467133e-05
GALNT1,0.6559549740389805,5.798878672173145,2.4286586584998167e-07,2.6231701492571446e-05
MPST,-0.6483892936877336,-5.982320918989774,2.690269772862383e-07,2.865944159488156e-05
B4GALT1,1.0032369566264903,5.810938224342784,2.7012402203867014e-07,2.865944159488156e-05
NRGN,-1.2552194543121802,-5.7455141770152185,2.846842577899117e-07,2.9939294444239047e-05
HIF3A,-1.4133364425821124,-5.717040616234445,2.9570420182487713e-07,3.08278058754648e-05
CHD3,0.765621086842919,5.8582646200652535,3.382683642574226e-07,3.495577850642655e-05
ADA2,1.6104310738978116,5.845398914725037,3.4113154435331605e-07,3.495577850642655e-05
TRIM2,1.183794801203664,5.873019811907262,3.52543883013551e-07,3.5819056046181887e-05
MAPT,-1.5910150277862503,-5.639995522380161,3.557447095202369e-07,3.584053212132874e-05
CFH,1.3650468652370167,5.613683195071713,3.755059949198536e-07,3.751617810911771e-05
SERPIND1,3.0540007348996103,5.853366179804962,3.928899637045559e-07,3.8928576651685296e-05
SPTSSA,-0.7704969349316677,-5.696935332186372,4.088092314420879e-07,3.991193839771095e-05
FBLIM1,1.75571884307177,5.932170789644291,4.094727185685584e-07,3.991193839771095e-05
SNX2,-0.5074262708571897,-5.782254931258096,4.185171857411254e-07,4.0464536611696393e-05
TMEM97,-1.3027900748239496,-5.920036612381493,4.366693168620998e-07,4.176968774878059e-05
ZDHHC3,0.9011344607619538,5.850597196371608,4.389841234753819e-07,4.176968774878059e-05
TMPRSS4,2.0071048678617647,6.004015157201114,4.42527252139406e-07,4.1775269495270384e-05
GALE,-0.6607746493541802,-5.679241805952838,4.818831987339397e-07,4.513513804391565e-05
LGALS9,1.9351922601523843,5.893841536811563,5.134099960029272e-07,4.771529024867515e-05
RAB20,-0.8619151078322265,-5.694293807059916,5.227125022701343e-07,4.820615530551262e-05
MESP1,0.9568204204358812,5.51854942365455,5.459408188189513e-07,4.996400363985044e-05
MID1IP1,-0.8016694944265463,-5.7824872937400364,5.810672479841561e-07,5.277587300062157e-05
KHK,-1.3068082148357825,-5.695828960955426,5.962050620765575e-07,5.37436277386154e-05
IL32,1.8065639846780295,5.496933138805483,6.100090911328994e-07,5.457760442979352e-05
TYMS,1.5615652156640936,5.585995634785377,6.328033315966795e-07,5.619762327787104e-05
