gene,log2FC,t,p,q
COL15A1,2.0041661375489648,4.480388605316298,5.621094623447528e-05,0.004486151241910655
RBP5,1.8806616411063628,4.45766544321688,5.724966426841406e-05,0.004539187432942032
FGF10,1.6619972309592745,4.390721332938968,6.0508888991080387e-05,0.004766450210070105
LINC00578,1.620466955769955,4.424705202386932,6.105319508688069e-05,0.004768198154107259
FMC1,-0.9431095059863859,-4.379503966749544,6.161392797778157e-05,0.004768198154107259
CHPT1,-1.1428541020973908,-4.406939043068768,6.17798446277753e-05,0.004768198154107259
SDHA,-0.6784525467662066,-4.373295126306521,6.210331451231941e-05,0.004768198154107259
BPIFB1,2.2921675179966376,4.383906825521848,6.257153183197037e-05,0.00477393240662662
SLC43A1,-1.2661210789253392,-4.376165023819935,6.318548014264827e-05,0.004790644122565414
CALHM2,-0.9513584121068197,-4.459398697425947,6.64393627699956e-05,0.0050060615513218415
MICAL3,1.3905393535976969,4.3570306458109025,6.869159778700385e-05,0.005141253348648756
CASS4,1.9312468014339303,4.3458795298302055,6.908122131973845e-05,0.005141253348648756
STK33,1.4892217130674505,4.338297337647017,6.986985275338477e-05,0.005168238925312869
TVP23A,1.612280431989158,4.329811496156849,7.314926352731371e-05,0.005351915676716234
JADE2,-1.3499529571580506,-4.425692674334002,7.323534764940193e-05,0.005351915676716234
A2M,1.6337759771227542,4.406101241468839,7.439657293702756e-05,0.005404220516760965
RARRES2,0.8551141692854234,4.5077513567564145,7.54791005539219e-05,0.005450220052497777
NAP1L1,0.4459680702416442,4.311412238321697,7.664820609555329e-05,0.005501889870681402
PSMC5,-0.4180756794974725,-4.307247192828138,7.73024802809706e-05,0.005516214048755614
F13A1,2.187313416701353,4.410206158484723,7.843004774684873e-05,0.005563946837526444
LRRC4C,1.451111920581542,4.4289488960508345,7.922378061680649e-05,0.005587579550363253
ARSI,1.832276272103969,4.297972271026593,8.06727926737587e-05,0.0056236364892618095
SRGN,1.6962233327109226,4.342757807391553,8.139658401642537e-05,0.0056236364892618095
BBIP1,-0.5523230308185125,-4.300755295440606,8.191968948633585e-05,0.0056236364892618095
BEX3,0.41661030865566495,4.288336308006987,8.215976655660072e-05,0.0056236364892618095
FOSB,1.3148397928201163,4.289859735602385,8.217894878098326e-05,0.0056236364892618095
HMGN1,0.6840745614401769,4.286277263644392,8.276084558275398e-05,0.0056236364892618095
CFH,0.7558238752748849,4.369610433033791,8.343530107109887e-05,0.0056236364892618095
ADI1,-0.6487636593344863,-4.3468709963949,8.386675559252717e-05,0.0056236364892618095
PPL,-1.9250898266524876,-4.304288478879612,8.397369569484793e-05,0.0056236364892618095
ATP1B2,2.061777407833671,4.283010112725418,8.437077248748244e-05,0.0056236364892618095
SLC29A1,-1.0800380279002173,-4.292294662760698,8.552430123721478e-05,0.00566937321480138
GSTA1,1.698534527217399,4.322283975581899,8.601567747068388e-05,0.005670957518461229
TNFRSF12A,1.481734034281212,4.286758961664754,8.882516565967347e-05,0.005824530187121616
SERPINF2,-1.7668534402983456,-4.260309486400438,9.390183510241141e-05,0.006124318073265338
KCND3,1.6209167281644647,4.243312203769506,9.592863295190021e-05,0.006223049445665783
