gene,log2FC,t,p,q
CKB,1.110498245482959,6.420665512991967,2.125654114898084e-08,2.187158697075053e-06
PLCH2,1.7722856235509994,6.8820116556338915,2.2669873966899197e-08,2.3136173000527285e-06
APOBEC3C,1.1806075799190707,6.461850463632067,2.311037697576914e-08,2.339552920780887e-06
SEZ6L2,1.9714928760752097,6.990936962744997,2.34677731581815e-08,2.356727651637219e-06
LGALS1,1.6659998951779391,6.6739864049529505,2.404872581620178e-08,2.395902025164928e-06
COL18A1,1.4021184746938475,6.571458853174839,2.43497184340921e-08,2.4067875236469144e-06
CYP2S1,1.5214507338047092,6.594173646620348,2.4878970673861943e-08,2.439888428663976e-06
LAMA4,1.2703094820958762,6.339707025746196,2.7883101760570757e-08,2.713306793801897e-06
FAIM2,1.1419447996780696,6.47686227360651,2.906320027325309e-08,2.8063873310011234e-06
NECTIN1,1.1541482131718959,6.693759239975509,2.9952047376169834e-08,2.870137791702748e-06
PDLIM1,0.7404979089565922,6.390978332669347,3.1790289087822816e-08,3.0232083251472712e-06
CHD4,0.8742927160619995,6.427108040760893,3.2383884516144784e-08,3.056503025046357e-06
ENSG00000235091,1.7527376025529482,6.381453694889479,3.270509280863961e-08,3.0637838061705447e-06
SHROOM4,1.5679018465370558,6.526703550616676,3.486830189515255e-08,3.2422355088137036e-06
MRC2,1.6627464995391705,6.664066424093324,3.5481911554020753e-08,3.275032615717813e-06
CALM1,0.5405293398314592,6.482792893635451,3.668275412592368e-08,3.3611577557862773e-06
MUC21,1.6766984403063456,6.315985238415354,3.74619794327017e-08,3.4010564299367483e-06
ITGA3,1.3282639414481077,6.69024195555647,3.766006880914586e-08,3.4010564299367483e-06
YWHAB,0.5613010727087815,6.357260527903815,3.882239034079463e-08,3.4708442640308747e-06
REEP3,0.8392002084270453,6.271695156922765,3.898582340702249e-08,3.4708442640308747e-06
TBC1D2,0.8607868309094853,6.432613001119026,3.9660891749155314e-08,3.486345980028323e-06
TYMP,1.1710960424005696,6.436836159267184,3.971540469561461e-08,3.486345980028323e-06
KRT8,1.0282536091909282,6.628286320848856,4.207567825503123e-08,3.6678888134403267e-06
TAGLN2,1.156954881724607,6.570204103497284,4.355253486191485e-08,3.756882371805002e-06
TNFRSF19,1.3918269166601358,6.37055777240502,4.369511879897477e-08,3.756882371805002e-06
DCAF7,0.7313839709547789,6.4139859329881155,4.4081162785047084e-08,3.764291404358477e-06
GLIS3,1.2243443198869528,6.54008005318808,4.464574292704628e-08,3.7867433173189994e-06
WDR86,1.6427876285191656,6.680038111697716,4.5889039107764135e-08,3.860213185065426e-06
GIPC2,1.32548766966436,6.214304450982408,4.6126979826321506e-08,3.860213185065426e-06
EDNRA,1.3513619125258538,6.2229511122615335,4.6900977950450866e-08,3.898993219947084e-06
SLC16A4,1.4974113958290982,6.494496191359379,4.8569506317975506e-08,4.011138242168069e-06
CDKN2B,1.3567386222364584,6.391509087755377,5.0877221140483704e-08,4.171348396362113e-06
CYBA,0.8719418999992943,6.301177710858721,5.1174034337589855e-08,4.171348396362113e-06
FAM3B,0.9711230057073728,6.577959321419358,5.207209271041568e-08,4.217167611573213e-06
PDLIM3,1.8222428225458138,6.217322204834606,5.4523370132239535e-08,4.347878275816175e-06
GUK1,0.6743038526400431,6.350087668515934,5.4674798083783404e-08,4.347878275816175e-06
CDCA7,1.4728835790650467,6.169924810366097,5.4725146783952493e-08,4.347878275816175e-06
WNT7B,0.9067291269011175,6.425038566494621,5.6465583484271547e-08,4.4579400596104455e-06
CHST3,1.4487782378091294,6.201415385561558,5.696744315448652e-08,4.4694519619891836e-06
FXYD5,1.51700769535256,6.379078029463541,5.863274976972035e-08,4.5433630548016e-06
TNNC2,1.301825177464317,6.190453418519391,5.8633379660468354e-08,4.5433630548016e-06
VIM,1.8700297298606081,6.438658670876091,6.095627690459183e-08,4.6943812514315414e-06
TINAGL1,1.1526765356748525,6.251933467101473,6.157560365655517e-08,4.713161906711811e-06
MRPL33,0.6759312248491405,6.295134392938539,6.299148028696782e-08,4.792315466923073e-06
RUNX2,1.5084874810528195,6.53191122606941,6.370943846021435e-08,4.79403246584845e-06
APOBEC3H,1.324754438963426,6.236841308997402,6.377785563583933e-08,4.79403246584845e-06
CDIP1,1.1333443578407807,6.627860876173861,6.464018332039203e-08,4.829929888219531e-06
LAMTOR2,0.6912636684314766,6.1660903250000505,6.885607166051931e-08,5.092575784739944e-06
TMEM63B,1.1552152296869478,6.537277692109458,6.926621112659065e-08,5.092575784739944e-06
CYP27C1,1.3487980505351236,6.182069000170388,6.937229819091296e-08,5.092575784739944e-06
CHL1,1.6675587027355743,6.514452245712721,7.165620815777745e-08,5.229653377933606e-06
MT-CO3,1.0808964695602885,6.3164095277879815,7.353206865935665e-08,5.335537906826034e-06
KIF9,0.7417157846167308,6.294621288429368,7.495009796692648e-08,5.3965390359806085e-06
FXYD3,0.7738254089510104,6.360371401740619,7.52325604474314e-08,5.3965390359806085e-06
INF2,1.4835268677691298,6.326453182993732,7.738858520344736e-08,5.5196528980617875e-06
PHLDA1,2.2364091703272533,6.164279644018391,8.134564646998186e-08,5.7691067804388825e-06
PBXIP1,0.9747994159330791,6.228884616173675,8.218960438558355e-08,5.796214066585564e-06
TRNAU1AP,0.8243038768740316,6.245028228381822,8.280237216960862e-08,5.806805462821771e-06
FAM83A,0.9571891889464763,6.208079656968184,8.834861092449219e-08,6.161333960750835e-06
SAT2,0.6470071978297538,6.192786934977271,9.051471303400233e-08,6.277520401744924e-06
NDUFAF8,0.6930984133960783,6.2349800018743275,9.389990950168311e-08,6.4325983184839405e-06
LYPD1,1.6577574067159941,6.187355524869683,9.396247375098447e-08,6.4325983184839405e-06
TSPAN3,0.8445093694357952,6.078661416077831,9.428806584888432e-08,6.4325983184839405e-06
TNFRSF1A,0.9113193018215284,6.286141356392672,9.760321298159937e-08,6.610529202707396e-06
RNF208,1.2046210441712517,6.138255097379094,9.794936921083211e-08,6.610529202707396e-06
