gene,log2FC,t,p,q
PTGFRN,1.8678017382070538,4.328274503182293,0.00015575625900517975,0.009147774316199736
LINC01936,2.025011787282522,4.133422388560242,0.00015840979048968788,0.009239035683926571
RCAN1,1.96324582782042,4.148236265413317,0.00015887541243855095,0.009239035683926571
AP4S1,1.6232902823459623,4.232754613285138,0.00016022337080357974,0.009271749472236563
ITGB8,1.9718605337640283,4.146302807962806,0.00016354219972618576,0.009408793894519029
TGFBR3,-1.22855421264945,-4.183445117607336,0.00016418564525801948,0.009408793894519029
COL3A1,1.4384267607070669,4.240697157159098,0.00016590689980244282,0.009461502184385689
BOK,1.7293663576911236,4.364485222677702,0.0001712839235976691,0.009721186144569634
EBF1,-0.8352180463846581,-4.113235443862406,0.0001757022342020224,0.009858229611965039
RND3,1.2193545515841686,4.1000249410150165,0.00017600277853006084,0.009858229611965039
BTBD3,1.817270211212172,4.355677160258992,0.0001762038499046695,0.009858229611965039
HIGD1A,-1.6829139440120775,-4.124198029552255,0.00018006387888390958,0.010026670236908267
SFTA1P,1.9413227897519447,4.119229379352959,0.00018511186002636255,0.01025936858033432
SQOR,-1.3822819265110784,-4.2635225944456145,0.00018857767442371357,0.010389323680835186
NKD2,2.159990767253727,4.095238248429368,0.00018921682264968784,0.010389323680835186
ETV1,1.7698856142367125,4.281215482697925,0.00019435203704947472,0.010621878691523376
ZBTB20,0.6530224496273584,4.136215215402286,0.00019631371003306862,0.010679646760093895
MACF1,0.9695854661211412,4.107538290546168,0.00020182188603262564,0.01092893286520709
SUN2,-1.2974397106246576,-4.229137766253174,0.00020762836655620942,0.011165336385322156
UBB,0.44960927541647777,4.061324991809786,0.00020807911942150565,0.011165336385322156
TNIK,1.396343219295594,4.118172950361593,0.0002167767907905783,0.01157941183385872
ADAMTS5,-1.6807920915310328,-4.033702880825779,0.00022335765816973983,0.011877194390512517
MTPN,0.48684500999016933,4.027894484856379,0.00022499558498406422,0.01187929180245051
WNT5A,1.8400447159457474,4.022738250976918,0.00022736005047447214,0.01187929180245051
RDX,0.5904116569035951,4.11563345103172,0.0002275710586689221,0.01187929180245051
CHPT1,-1.0396719569844768,-4.097753217322389,0.00022806003789376493,0.01187929180245051
CASC15,1.8879050560071573,4.014632323968684,0.00022842856748464768,0.01187929180245051
IGFBP3,2.0747068845835352,4.1535820793119544,0.00023001598488256014,0.011909380269906239
RHOD,1.544283740517776,4.270544663505787,0.0002318298044087124,0.011924502261203935
UGCG,1.488740292117889,4.071597934516048,0.00023232829479685768,0.011924502261203935
TNC,2.5271631744936096,4.099303363401151,0.00023455776904787845,0.011986815859784438
NORAD,0.6673587755952131,4.007292928038859,0.00023968887781014868,0.012161573210185826
P4HA3,2.0492225050529704,4.047667817031036,0.0002400378278672848,0.012161573210185826
GPR153,1.8007721140904853,4.048925339273405,0.00024336139340171346,0.012277270295330031
HGF,0.982915642047252,4.075317832725001,0.000246792913116262,0.012397405699308394
DENND1B,1.8335108494595185,3.9865916110218587,0.000250770765233709,0.012543851201626844
NUCKS1,0.4386832636698763,3.984122779754859,0.0002529790653381947,0.012600919267161979
MARCKS,1.070317683530674,3.9787350472529748,0.0002554015353547286,0.012605080023313849
TNNC1,-1.7723693138748435,-4.0042956088856245,0.0002557207441905709,0.012605080023313849
DLST,-0.7614042748207082,-3.9926149983126136,0.00025626592169380124,0.012605080023313849
PPP1CC,0.5830568529590483,3.9745987468058073,0.000258505594825849,0.012623571480182397
IQGAP2,1.6903668743143174,3.9763344974860595,0.00025878054199103263,0.012623571480182397
NAP1L1,0.5003227482117101,3.973017710479595,0.00026540915724161955,0.012893642391923123
TENM1,1.6781411097418362,3.9895335996705494,0.0002683312763886057,0.012934984604882351
COL5A2,0.9956763908459285,4.06040441676961,0.0002684516076405062,0.012934984604882351
SELENOW,0.598830322407812,3.9578846946954425,0.0002736137129084678,0.013130121467010009
MIR222HG,2.0598742793833797,3.9469387690624362,0.0002908117471673444,0.013853717945821532
F13A1,2.26017417962969,3.996001623150337,0.0002910715441059568,0.013853717945821532
AKAP7,1.7748269287191394,4.0304528767245245,0.0002922131104201238,0.013853717945821532
LMNA,0.9379223979264069,4.031426587313346,0.0002944810995722894,0.013874296420346837
SDHA,-0.6507677481707539,-3.9319461079604623,0.00029554317261799363,0.013874296420346837
RBM25,0.6505323433214212,3.98903844810012,0.00029617303667322343,0.013874296420346837
TXNRD1,-0.9165189890283134,-3.9296259373086992,0.000303922578380566,0.014181051532737477
NAPSA,-2.1396463938418027,-3.91972666000862,0.0003091511366320638,0.01436822507063588
SLCO2B1,1.6720335847005607,3.9330516532032376,0.00031187129057945695,0.014437806216825447
EIF5,0.7050203387778726,3.9579922120588082,0.000316290719183733,0.01453855091878111
TMEM176B,0.7569790909749967,4.06891384427743,0.00031760279759630324,0.01453855091878111
CRABP2,2.192756415384034,4.0454179016442655,0.00031774215476878663,0.01453855091878111
LUM,1.1456005591712728,3.9453711313291158,0.00032903447058877056,0.014997111680696666
DOK5,1.9297853766943982,3.9489850096061407,0.00033045965767453106,0.015004139457107074
LINC02202,-1.1358791655013718,-3.965778957330518,0.0003342081502062537,0.015116196219098946
CLMP,1.876687796857972,4.195788463201095,0.0003360920146375774,0.015143382567925958
HMGN1,0.7719751719516337,3.888246019971979,0.00033825644664470136,0.015182955713462737
VLDLR,1.7048523323537599,3.9128609685002567,0.0003399930550572062,0.015203098541478482
WLS,0.7580573572825475,3.881551401471741,0.0003491681994248248,0.01555445507249078
TSC22D1,1.5376096646541857,4.018115111426607,0.0003515523790374846,0.01560178885164476
PDE1A,1.6304350631774995,4.067538912659925,0.00037100860294422453,0.016403582613320488
CREB3L2,0.6723336457409399,3.913462845821544,0.00037304026006611534,0.016431866679404817
KDM5B,0.7546899985196598,3.897896611351023,0.0003778289146040209,0.016580930620447833
TWIST1,1.94347134399977,3.8494346495225895,0.000380205724606214,0.016623439181393914
DOK4,-1.2328273400481282,-3.907071648651723,0.00038376194789443687,0.016717010313261355
KCNK15,-1.7728703653223667,-3.844920148646211,0.0003915562167205174,0.016993827714653336
SLC31A2,-1.64764015196838,-3.838537659895489,0.0004037107710432012,0.017457163561043917
LOXL2,1.8504291147113041,3.8542007221990957,0.00041362660673692036,0.01782066457127498
MICAL3,1.6866114764885343,3.8248053804480864,0.00041555990841746053,0.017838853523156804
EDEM2,-1.0784931589354487,-3.866927223447567,0.00041810187153772994,0.017882944179358342
GLIPR1,0.8552363497470443,3.89459792379207,0.00042979760927617535,0.01828469096321515
TMEM120A,-0.7269092267632749,-3.8374303425926146,0.00043059246825699377,0.01828469096321515
TNFRSF19,1.7003703006942366,3.8008439902305744,0.0004399938760856732,0.018616945187065848
CBX5,0.8117338130010712,3.9764749629134513,0.00044657343865880104,0.018827855154882667
SFTPA2,-2.071287474533555,-3.8129236654595733,0.0004483515346985408,0.018835551128527667
AIG1,1.3234333656409838,4.113105402904124,0.00045067420621679367,0.018865989377266842
SNX30,1.4419973564040465,3.7832870372673257,0.0004651116364648263,0.019401564906244787
COL18A1,1.0908787654006993,3.856826265191458,0.0004718947259699794,0.019615201549561995
SCG2,1.7271467177857869,3.779879187936197,0.00048284872822581713,0.019966786058153774
EEA1,0.4221067542056369,3.774193271595126,0.0004837357740476052,0.019966786058153774
TNFAIP6,1.791757341426175,3.8776572067588155,0.0004959023764666237,0.020397656983235167
NUPR1,-0.674383222777756,-3.829090968639981,0.0005020867977260821,0.020568385789390818
SOSTDC1,1.7528425393210458,3.782007905895826,0.0005035377800198176,0.020568385789390818
FAM200B,-0.5395633732766525,-3.7543164408218974,0.0005063528497060466,0.020603854413618887
IGFBP6,-1.5112283153944883,-3.7768631615623387,0.0005101740764475631,0.020603854413618887
RRBP1,0.7418441556072128,3.7927292126740415,0.0005128796129343098,0.020603854413618887
TMOD3,0.6025645518398646,3.817849247412383,0.000514035932906863,0.020603854413618887
TSHZ2,0.9789063566636393,3.870993046088475,0.0005143596395074891,0.020603854413618887
SEZ6L2,1.8077005007302986,3.7485021486022734,0.0005156155717064459,0.020603854413618887
SERPINA3,-2.4496063305868976,-3.752416425226457,0.0005194552213118973,0.020603854413618887
TMEM35A,1.7333524191580365,3.757796801275861,0.0005204063279201141,0.020603854413618887
NT5C,-0.4017417562181471,-3.752914465670068,0.0005215338837982761,0.020603854413618887
FAT1,1.2620000484485354,3.8920339335946608,0.0005218595908235533,0.020603854413618887
ZNF428,0.5307609245279492,3.741044958333543,0.0005291956104982802,0.020823847273107324
CD44,0.7577144204434312,3.8152488795287844,0.0005378153052996568,0.02109272318625398
MMP19,1.0783629906064176,3.743123168677324,0.0005403350946992242,0.021121376797762725
PTPRD,1.359699963724852,3.855126732527005,0.0005456176977381415,0.021257481590094923
NR4A3,1.9834399713911055,3.749356681616124,0.0005523631939513061,0.021449498370378843
COL5A1,1.0285608950541754,3.8274509713035414,0.0005579021430664349,0.02158621917858177
SPARC,0.8803713815700664,3.7573448249761765,0.0005595411324562492,0.02158621917858177
LINC00578,1.6725360514490548,3.7340229793626465,0.0005662402004151348,0.021773503471989142
JADE2,-1.1928748861551717,-3.765945175675413,0.0005732606421027395,0.021971889220853375
PTMA,0.6438815858338884,3.7471742103132124,0.0005821343119102746,0.0222397914307469
ZNF275,1.6667700508349421,3.738388909378264,0.0005966964753454522,0.022687457831733832
LMO3,-1.6432768090359802,-3.747731982578138,0.0005976958395314886,0.022687457831733832
