screen_id,gate_r2_logsize,n_sets_used,has_scores,before_rho2,before_r2_linear,source_id,C1_hypergeom_rho2,C1_hypergeom_top10,C1_hypergeom_r2_linear,C2_perm_z_rho2,C2_perm_z_top10,C2_perm_z_r2_linear,C3_camera_rho0_rho2,C3_camera_rho0_top10,C3_camera_rho0_r2_linear,C4_vif_rho01_rho2,C4_vif_rho01_top10,C4_vif_rho01_r2_linear,C4_vif_rho05_rho2,C4_vif_rho05_top10,C4_vif_rho05_r2_linear,C5_residual_rho2,C5_residual_top10,C5_residual_r2_linear
151,0.2312,50,True,0.1141,0.2135,26472758,0.0099,9,0.039,0.0393,9,0.0112,0.1454,9,0.0648,0.075,9,0.0351,0.0374,9,0.0178,0.0099,9,0.0
152,0.2454,50,True,0.1552,0.2218,26472758,0.0185,9,0.0259,0.0452,9,0.0048,0.0578,9,0.0479,0.0192,9,0.0236,0.0052,9,0.0105,0.0124,9,-0.0
1524,0.1174,50,True,0.0516,0.0911,32699298,0.0216,9,0.0187,0.0437,9,0.0002,0.005,2,0.0242,0.0035,2,0.0918,0.02,2,0.146,0.0437,9,0.0
153,0.269,50,True,0.0942,0.2416,29038160,0.0537,9,0.032,0.0863,9,0.0043,0.1645,9,0.0604,0.0974,9,0.0322,0.0627,9,0.0163,0.034,8,0.0
154,0.2181,50,True,0.1151,0.1893,27760321,0.0577,9,0.0237,0.0812,9,0.0001,0.1803,9,0.0901,0.0731,8,0.0421,0.0114,8,0.0161,0.0077,9,0.0
155,0.2659,50,True,0.1245,0.2379,27760321,0.0055,9,0.0211,0.0217,9,0.0056,0.0921,8,0.0794,0.0403,8,0.0387,0.0213,8,0.0162,0.0158,8,0.0
156,0.2521,50,True,0.1105,0.2158,27760321,0.0535,9,0.0294,0.0738,9,0.0038,0.039,8,0.0571,0.002,8,0.0157,0.0053,8,0.0008,0.0074,9,-0.0
1561,0.0168,50,True,0.0327,0.0337,33730579,0.0766,6,0.0933,0.1291,6,0.167,0.0065,4,0.0234,0.0046,4,0.0005,0.0211,4,0.0076,0.0188,8,0.0
1568,0.0072,50,True,0.0,0.0014,33476303,0.0031,5,0.0101,0.3183,5,0.0347,0.0016,2,0.0283,0.0052,1,0.0029,0.0304,1,0.0023,0.3183,5,0.0
157,0.247,50,True,0.0997,0.2139,28474669,0.0277,8,0.0342,0.0588,8,0.005,0.053,8,0.0436,0.009,8,0.0173,0.0002,8,0.005,0.0243,8,0.0
1571,0.8203,50,True,0.5509,0.7896,31519875,0.0012,6,0.0045,0.0041,6,0.003,0.0037,1,0.0034,0.0054,1,0.0145,0.0288,1,0.0601,0.0048,3,-0.0
1573,0.6169,50,True,0.4839,0.6325,31692446,0.0199,8,0.0032,0.0078,7,0.0023,0.0013,2,0.0121,0.0288,2,0.0041,0.0672,1,0.0411,0.0033,5,0.0
158,0.2791,50,True,0.1006,0.2301,28474669,0.0246,8,0.0304,0.047,8,0.0049,0.0409,8,0.0374,0.0132,8,0.0131,0.0,8,0.0027,0.0101,8,0.0
1581,0.5016,50,True,0.4541,0.4689,33686287,0.045,5,0.014,0.0197,5,0.0046,0.001,2,0.0019,0.0234,2,0.0156,0.0663,2,0.0603,0.0002,4,0.0
1584,0.5017,50,True,0.3601,0.4728,33686287,0.0415,6,0.0155,0.0088,6,0.0096,0.0161,3,0.0007,0.0816,2,0.0497,0.1303,2,0.1323,0.0008,5,-0.0
159,0.2584,50,True,0.095,0.2125,28474669,0.0395,9,0.0369,0.0722,9,0.0073,0.0829,9,0.0523,0.0303,8,0.0257,0.0122,8,0.0113,0.0176,8,0.0
1591,0.1279,50,True,0.0525,0.1141,33226137,0.0,9,0.005,0.0317,9,0.0003,0.0183,5,0.011,0.0031,5,0.0,0.0012,5,0.0047,0.0002,9,0.0
1592,0.0683,50,True,0.0205,0.0487,33226137,0.0004,8,0.0007,0.0628,8,0.0073,0.058,7,0.0011,0.008,7,0.0029,0.0015,7,0.0119,0.0153,8,0.0
1593,0.0988,50,True,0.0281,0.0823,33226137,0.0042,9,0.0004,0.0706,9,0.001,0.0195,5,0.0062,0.0008,5,0.0247,0.0049,5,0.0405,0.0106,9,0.0
16,0.2618,50,True,0.0995,0.2237,26627737,0.0593,9,0.0242,0.0946,9,0.001,0.1065,8,0.0466,0.037,8,0.0161,0.0048,8,0.003,0.0204,9,-0.0
1621,0.0186,50,True,0.0316,0.0181,31508509,0.0217,10,0.0067,0.3554,8,0.0004,0.001,4,0.0033,0.0223,3,0.0132,0.0541,3,0.0559,0.3554,8,0.0
1622,0.003,50,True,0.0039,0.001,33574281,0.0016,10,0.0039,0.4748,8,0.0241,0.0119,1,0.0264,0.004,0,0.0023,0.0232,0,0.0019,0.4714,8,-0.0
1623,0.3522,50,True,0.1527,0.321,33137164,0.0041,8,0.0317,0.0135,8,0.0105,0.006,6,0.0354,0.0061,5,0.0043,0.0227,5,0.001,0.0262,7,-0.0
1624,0.2018,50,True,0.1227,0.2044,33137164,0.0023,8,0.0114,0.0175,8,0.0004,0.0009,5,0.0006,0.0408,5,0.0466,0.0923,3,0.114,0.0045,8,0.0
1625,0.128,50,True,0.0636,0.1126,33137164,0.0177,5,0.0064,0.0985,5,0.0579,0.0143,2,0.0131,0.0578,2,0.1025,0.1043,1,0.1946,0.0081,7,0.0
1626,0.3426,50,True,0.2771,0.3806,33137164,0.0233,7,0.0113,0.0011,7,0.0025,0.003,2,0.0019,0.034,2,0.0159,0.0763,2,0.061,0.0013,6,-0.0
1627,0.2289,50,True,0.2153,0.2448,33137164,0.0464,7,0.0578,0.0066,7,0.0098,0.0,3,0.0046,0.0145,2,0.0154,0.0353,2,0.0627,0.0032,7,-0.0
1628,0.2663,50,True,0.1763,0.245,33137164,0.0394,7,0.0145,0.0753,7,0.0554,0.0851,2,0.0255,0.1809,2,0.1111,0.2488,2,0.1954,0.0069,7,0.0
1633,0.8842,50,True,0.7713,0.8235,31406246,0.0194,7,0.0135,0.0109,7,0.0185,0.0444,3,0.0313,0.0127,2,0.0026,0.0,2,0.0045,0.0441,1,0.0
1636,0.7268,50,True,0.6796,0.7575,31406246,0.0237,7,0.088,0.0133,7,0.0373,0.0254,4,0.0251,0.0003,4,0.0013,0.012,4,0.0103,0.0034,6,0.0
1639,0.8775,50,True,0.7594,0.8333,34049503,0.1103,7,0.0835,0.091,7,0.1103,0.0301,2,0.0098,0.0014,2,0.0096,0.0008,2,0.0529,0.0561,2,0.0
1640,0.846,50,True,0.7412,0.8043,34049503,0.0144,5,0.0005,0.0103,5,0.0087,0.0163,1,0.0014,0.0764,1,0.0536,0.128,1,0.1248,0.0594,1,0.0
1641,0.8968,50,True,0.7147,0.8382,34049503,0.0878,6,0.0303,0.0656,6,0.0706,0.0163,5,0.0219,0.003,4,0.0006,0.0343,4,0.028,0.059,2,-0.0
1642,0.8991,50,True,0.7598,0.8388,34049503,0.0142,6,0.0136,0.0078,6,0.0002,0.0046,1,0.001,0.0444,1,0.0469,0.0825,0,0.1206,0.0169,1,0.0
1643,0.5782,50,True,0.4376,0.5428,34049503,0.0013,7,0.0002,0.0007,6,0.0033,0.114,0,0.1107,0.2433,0,0.2369,0.3083,0,0.3043,0.0059,3,0.0
1644,0.6805,50,True,0.5839,0.6974,34049503,0.061,9,0.0492,0.0487,9,0.0411,0.0191,0,0.0358,0.0988,0,0.1631,0.1651,0,0.2738,0.0,5,0.0
1645,0.6388,50,True,0.5248,0.6396,34049503,0.0433,5,0.0204,0.0555,5,0.0574,0.0003,1,0.0009,0.0169,1,0.0247,0.0453,1,0.0789,0.007,5,0.0
1646,0.7272,50,True,0.5706,0.6404,34049503,0.0595,7,0.0379,0.0433,7,0.0315,0.0003,1,0.0052,0.009,1,0.0507,0.0202,1,0.093,0.0166,3,-0.0
1647,0.1165,50,True,0.1196,0.1336,34049503,0.0081,6,0.0165,0.0333,5,0.0421,0.0016,1,0.0002,0.0225,1,0.032,0.0509,0,0.0837,0.0005,7,0.0
1648,0.3951,50,True,0.2777,0.4296,34049503,0.0393,6,0.0162,0.0001,6,0.0067,0.0022,3,0.0014,0.0075,1,0.0213,0.0312,1,0.0745,0.0088,4,0.0
1649,0.2259,50,True,0.2012,0.244,34049503,0.0004,7,0.0177,0.0114,7,0.0385,0.0009,1,0.0054,0.0076,0,0.0188,0.0353,0,0.0806,0.0009,7,-0.0
1650,0.1147,50,True,0.1254,0.1263,34049503,0.0,5,0.0531,0.0363,5,0.0859,0.0067,4,0.0006,0.0574,4,0.0479,0.1182,3,0.1102,0.0,7,0.0
1651,0.32,50,True,0.2823,0.337,34049503,0.0335,7,0.0196,0.0058,7,0.0032,0.0089,3,0.0001,0.0006,2,0.0386,0.0054,2,0.1016,0.0,6,0.0
1652,0.1864,50,True,0.2195,0.2206,34049503,0.0005,4,0.0197,0.0437,4,0.0702,0.0726,1,0.0489,0.0218,1,0.01,0.0064,0,0.0,0.0004,4,0.0
1653,0.145,50,True,0.1473,0.138,34049503,0.0098,7,0.0028,0.0027,6,0.0389,0.0865,3,0.0757,0.0287,2,0.0167,0.0095,2,0.0001,0.0003,9,0.0
1654,0.2648,50,True,0.2026,0.2715,34049503,0.0224,6,0.0067,0.015,6,0.0068,0.0029,2,0.0018,0.0072,2,0.025,0.036,2,0.0801,0.0026,5,-0.0
1656,0.7831,50,True,0.6053,0.7221,34253920,0.0149,6,0.0427,0.0064,6,0.0393,0.0217,3,0.0025,0.092,2,0.0136,0.1726,2,0.0615,0.0537,2,-0.0
1657,0.6889,50,True,0.6864,0.6657,34253920,0.0029,4,0.0166,0.0013,4,0.0113,0.0874,1,0.0711,0.0298,1,0.015,0.0083,1,0.0006,0.0034,1,-0.0
1658,0.758,50,True,0.7225,0.7759,34253920,0.0613,9,0.0846,0.0333,7,0.0264,0.0024,0,0.0248,0.0018,0,0.0043,0.0163,0,0.0,0.0058,6,0.0
1669,0.7246,50,True,0.5794,0.7453,34615851,0.0093,6,0.0,0.0191,6,0.008,0.0166,2,0.0303,0.0004,1,0.0021,0.0126,1,0.0439,0.0091,5,0.0
1670,0.5546,50,True,0.5361,0.6188,34615851,0.0022,6,0.0539,0.0058,6,0.0362,0.068,3,0.0817,0.0126,3,0.0288,0.0019,3,0.005,0.0003,6,0.0
17,0.2488,50,True,0.0874,0.1999,26627737,0.0398,9,0.0127,0.0785,9,0.0,0.0916,8,0.0391,0.0255,8,0.0117,0.0064,8,0.0014,0.0187,9,-0.0
1704,0.0691,50,True,0.0495,0.0598,35879412,0.0181,9,0.005,0.0272,8,0.0001,0.0675,1,0.0489,0.0119,1,0.0158,0.0004,0,0.0023,0.0216,9,0.0
1705,0.9596,50,True,0.8437,0.9323,30414698,0.0098,6,0.0098,0.0046,6,0.0091,0.0638,2,0.0432,0.1494,1,0.1704,0.217,0,0.2957,0.0592,1,0.0
1706,0.1064,50,True,0.1673,0.1184,35879412,0.0934,8,0.0388,0.0006,8,0.0159,0.0647,1,0.0594,0.1419,1,0.189,0.1942,1,0.2912,0.0005,8,0.0
1708,0.1842,50,True,0.1882,0.1924,35879412,0.1042,8,0.0671,0.016,7,0.0406,0.047,1,0.0429,0.0084,1,0.0002,0.0001,2,0.0169,0.001,7,0.0
1710,0.073,50,True,0.076,0.0963,33604667,0.0581,8,0.049,0.1572,8,0.0119,0.0119,4,0.0184,0.0,4,0.0002,0.0091,4,0.0165,0.1485,8,-0.0
172,0.0605,50,True,0.1274,0.0699,28215525,0.0278,7,0.0467,0.0034,7,0.0788,0.0012,4,0.0,0.0055,4,0.0255,0.025,3,0.0717,0.0044,7,0.0
1725,0.1554,50,True,0.1102,0.1545,33483422,0.0101,9,0.0321,0.0014,8,0.0074,0.0,6,0.0201,0.0135,6,0.0,0.0356,6,0.0111,0.0007,9,-0.0
173,0.0148,50,True,0.0001,0.0043,28215525,0.0331,8,0.053,0.2015,8,0.1015,0.0096,6,0.0101,0.0012,7,0.0046,0.0152,6,0.0322,0.0717,9,0.0
1733,0.2804,50,True,0.2521,0.2844,35050652,0.0803,9,0.0118,0.0271,9,0.0105,0.0091,3,0.0002,0.0004,3,0.0161,0.0131,3,0.0494,0.0011,8,0.0
1735,0.1884,50,True,0.117,0.1842,https://www.biorxiv.org/content/10.1101/2020.08.27.270819v1.full,0.0624,10,0.0448,0.0082,10,0.0343,0.0168,7,0.0376,0.0,7,0.0118,0.0093,7,0.0015,0.0033,9,0.0
1736,0.2866,50,True,0.1187,0.2415,https://www.biorxiv.org/content/10.1101/2020.08.27.270819v1.full,0.0562,8,0.0181,0.0827,7,0.0,0.0103,8,0.0266,0.0021,8,0.0065,0.0186,8,0.0003,0.016,7,0.0
1737,0.3298,50,True,0.1764,0.2903,https://www.biorxiv.org/content/10.1101/2020.08.27.270819v1.full,0.0184,9,0.0259,0.0458,9,0.0053,0.0748,9,0.0521,0.037,8,0.0222,0.0114,8,0.0075,0.0174,7,-0.0
1738,0.2142,50,True,0.0931,0.1585,https://www.biorxiv.org/content/10.1101/2020.08.27.270819v1.full,0.0257,8,0.0,0.0018,8,0.0018,0.0005,2,0.0133,0.0042,2,0.0006,0.0161,2,0.0015,0.0021,8,0.0
1739,0.0624,50,True,0.0975,0.0455,https://www.biorxiv.org/content/10.1101/2020.08.27.270819v1.full,0.0411,10,0.0022,0.0035,9,0.001,0.0446,1,0.042,0.0098,0,0.0101,0.0007,0,0.0003,0.001,10,0.0
174,0.167,50,True,0.1289,0.1331,28215525,0.0001,7,0.0083,0.0124,7,0.0065,0.0005,4,0.0051,0.0263,4,0.0593,0.0645,4,0.1177,0.0001,7,-0.0
1742,0.1918,50,True,0.2297,0.1911,34431042,0.0434,10,0.0418,0.0024,9,0.0014,0.02,5,0.0103,0.0005,3,0.0013,0.0066,3,0.0177,0.0181,9,0.0
1749,0.1047,50,True,0.0511,0.1036,34686207,0.034,9,0.0295,0.0665,9,0.0208,0.0323,6,0.0384,0.0038,6,0.01,0.0001,6,0.0005,0.0665,9,0.0
175,0.3011,50,True,0.2015,0.2734,28215525,0.0574,8,0.0558,0.0138,8,0.0308,0.0083,7,0.0061,0.0404,6,0.0019,0.0695,6,0.0192,0.001,6,0.0
1751,0.0672,50,True,0.0418,0.0603,34686207,0.0256,7,0.0088,0.0852,7,0.0027,0.0053,4,0.011,0.04,4,0.0562,0.0719,4,0.0988,0.0852,7,0.0
176,0.268,50,True,0.0911,0.242,28215525,0.0117,8,0.0121,0.0707,7,0.0013,0.0,6,0.0056,0.0195,5,0.007,0.0493,4,0.0433,0.0305,8,0.0
1768,0.1087,50,True,0.0779,0.1099,33513160,0.0223,8,0.0181,0.0235,8,0.0036,0.0038,2,0.0057,0.0051,3,0.0047,0.0288,2,0.0297,0.0231,8,0.0
1769,0.1092,50,True,0.1104,0.108,33513160,0.0736,7,0.0509,0.0401,7,0.023,0.0025,6,0.0053,0.0315,6,0.0081,0.0654,6,0.0449,0.0394,7,0.0
177,0.1036,50,True,0.1432,0.1133,28215525,0.1024,9,0.0081,0.0027,9,0.0001,0.0153,4,0.0117,0.0721,3,0.0863,0.1081,3,0.1609,0.0026,9,0.0
178,0.1878,50,True,0.2632,0.2001,28894007,0.0127,7,0.0104,0.0,7,0.0002,0.0534,1,0.0331,0.0068,1,0.0,0.0014,1,0.0163,0.0147,7,-0.0
1787,0.2926,50,True,0.1944,0.2581,34155407,0.058,10,0.0209,0.0705,10,0.0005,0.1565,8,0.0452,0.0724,8,0.019,0.0427,8,0.0066,0.0067,9,0.0
1788,0.331,50,True,0.1838,0.29,34155407,0.0404,9,0.0221,0.0547,9,0.0007,0.159,8,0.0509,0.0797,8,0.022,0.0338,8,0.0077,0.0096,8,0.0
1789,0.2228,50,True,0.1732,0.2161,34155407,0.0196,10,0.0178,0.0323,10,0.0022,0.1353,8,0.0423,0.0567,8,0.0167,0.0202,8,0.005,0.0062,9,0.0
179,0.2248,50,True,0.0973,0.1958,29083409,0.0661,9,0.0273,0.0971,9,0.0019,0.1589,9,0.0695,0.0825,9,0.038,0.0282,9,0.0191,0.0141,9,0.0
1790,0.2462,50,True,0.1383,0.2111,34155407,0.0222,10,0.0125,0.0457,10,0.0002,0.1549,8,0.044,0.1072,8,0.0189,0.0484,8,0.0068,0.0084,8,0.0
1791,0.2739,50,True,0.1966,0.2657,34155407,0.031,8,0.0207,0.0405,8,0.0005,0.0857,9,0.0332,0.0194,9,0.0109,0.0005,9,0.002,0.0037,8,0.0
1792,0.2568,50,True,0.2049,0.2462,34155407,0.0282,8,0.0133,0.0343,8,0.0,0.087,8,0.0286,0.0289,8,0.0089,0.0023,8,0.0015,0.0008,8,0.0
1793,0.238,50,True,0.0961,0.2064,34373451,0.0203,9,0.0272,0.0372,9,0.006,0.0699,9,0.0351,0.0101,9,0.0129,0.0001,9,0.0032,0.0115,8,0.0
1794,0.3016,50,True,0.141,0.2617,34373451,0.0225,9,0.0307,0.0438,9,0.0099,0.0433,9,0.0363,0.006,9,0.0132,0.0006,9,0.0031,0.0194,9,-0.0
1795,0.2565,50,True,0.0908,0.2159,34373451,0.0164,9,0.0287,0.0523,8,0.006,0.0861,9,0.0405,0.0201,9,0.0174,0.0003,9,0.0061,0.016,8,0.0
1796,0.2404,50,True,0.0878,0.2065,34373451,0.0072,9,0.0285,0.055,9,0.007,0.1132,9,0.045,0.0207,9,0.0201,0.0029,9,0.0072,0.0238,8,0.0
1797,0.281,50,True,0.1783,0.2554,34373451,0.0331,9,0.027,0.0579,9,0.0056,0.0864,9,0.0412,0.0229,9,0.0156,0.0009,9,0.0041,0.0298,8,0.0
1798,0.2649,50,True,0.1257,0.2319,34373451,0.0197,10,0.0321,0.0389,10,0.0086,0.0369,9,0.0368,0.001,9,0.0128,0.0069,9,0.0024,0.011,9,0.0
18,0.4868,50,True,0.2344,0.4308,27159373,0.01,8,0.028,0.0242,8,0.0076,0.1225,7,0.0535,0.0373,7,0.0216,0.0048,7,0.0065,0.0263,8,0.0
180,0.2502,50,True,0.1021,0.206,29083409,0.1068,9,0.0287,0.1239,9,0.0014,0.1244,9,0.066,0.0441,9,0.0379,0.0147,9,0.0206,0.0267,9,0.0
1803,0.0216,50,True,0.008,0.0077,35231079,0.0153,7,0.0,0.4947,7,0.0155,0.0194,3,0.0254,0.0,3,0.0,0.0116,3,0.016,0.4947,7,0.0
1804,0.4738,50,True,0.2467,0.4547,35192680,0.0,7,0.0248,0.0024,7,0.0178,0.2157,3,0.2315,0.1244,3,0.1313,0.0502,2,0.0659,0.046,5,0.0
1805,0.5847,50,True,0.3163,0.5327,35192680,0.0004,9,0.0184,0.0001,9,0.0192,0.1052,5,0.1472,0.0276,3,0.0762,0.0022,3,0.0337,0.0291,6,0.0
1806,0.0259,50,True,0.0155,0.0325,35231079,0.0036,5,0.0022,0.1252,5,0.0243,0.0,1,0.002,0.0285,1,0.0199,0.0567,1,0.0746,0.1059,5,0.0
181,0.2206,50,True,0.1039,0.1835,29083409,0.136,9,0.0246,0.1515,9,0.0002,0.1234,9,0.055,0.0369,9,0.0288,0.0051,9,0.0135,0.0183,9,0.0
1811,0.2435,50,True,0.101,0.2093,31160565,0.0813,9,0.0289,0.107,9,0.0014,0.1622,9,0.0653,0.0858,9,0.0365,0.0369,9,0.0195,0.0213,9,0.0
1812,0.2596,50,True,0.0988,0.2186,31160565,0.0816,9,0.0343,0.0993,9,0.0025,0.1459,9,0.0715,0.0711,9,0.0371,0.0279,9,0.0173,0.0168,9,0.0
1813,0.183,50,True,0.0785,0.1599,31160565,0.0571,9,0.025,0.1059,9,0.0011,0.1862,9,0.0724,0.1181,9,0.041,0.0678,9,0.022,0.0207,9,0.0
1814,0.2491,50,True,0.0845,0.2039,31160565,0.1023,9,0.0302,0.1192,9,0.0006,0.1217,9,0.0644,0.0532,9,0.0332,0.0287,9,0.0156,0.0157,9,0.0
1815,0.4587,50,True,0.4909,0.4584,34962926,0.0138,6,0.0003,0.0009,6,0.0043,0.0051,2,0.0047,0.0504,2,0.0601,0.0871,1,0.1302,0.0006,5,0.0
1816,0.5787,50,True,0.5969,0.6083,34962926,0.058,5,0.0078,0.03,4,0.0104,0.0051,4,0.0047,0.0504,3,0.0601,0.0871,2,0.1302,0.0004,1,0.0
1817,0.6336,50,True,0.5585,0.6502,34962926,0.0014,6,0.0057,0.0003,6,0.0017,0.0648,4,0.0355,0.0043,3,0.0023,0.005,3,0.0479,0.0034,5,0.0
1818,0.4077,50,True,0.5227,0.464,34962926,0.0808,7,0.0106,0.0353,6,0.0071,0.0648,2,0.0355,0.0043,1,0.0023,0.005,1,0.0479,0.0096,5,0.0
182,0.0593,50,True,0.0174,0.0532,29269392,0.0078,8,0.0265,0.2921,8,0.0002,0.2038,5,0.125,0.1071,5,0.0674,0.0375,4,0.0317,0.2921,8,-0.0
1821,0.0323,50,True,0.0199,0.0416,35086559,0.0043,6,0.0067,0.2051,6,0.0041,0.0863,4,0.0948,0.0209,4,0.0194,0.0016,3,0.0,0.1923,6,0.0
1822,0.003,50,True,0.0054,0.0013,35086559,0.0114,9,0.0055,0.5168,9,0.0616,0.0048,3,0.0506,0.0034,3,0.0064,0.0256,2,0.0014,0.4931,9,0.0
1823,0.0683,50,True,0.0393,0.0623,35086559,0.024,8,0.0238,0.1182,8,0.0057,0.022,2,0.0493,0.0,2,0.0044,0.008,2,0.0033,0.1053,8,-0.0
1824,0.0109,50,True,0.0071,0.0094,35086559,0.0001,7,0.0084,0.2682,7,0.0529,0.0105,3,0.0578,0.0002,3,0.0084,0.014,2,0.0008,0.2639,7,0.0
1826,0.0001,50,True,0.0039,0.0,35086559,0.0098,10,0.0041,0.5029,10,0.0474,0.0104,6,0.0002,0.0612,6,0.0266,0.1079,7,0.0718,0.4952,10,0.0
1827,0.0319,50,True,0.0302,0.0313,35086559,0.0027,7,0.0043,0.0966,7,0.0251,0.0001,5,0.0035,0.0288,5,0.0416,0.0901,5,0.0929,0.0853,7,0.0
1828,0.0222,50,True,0.0002,0.0106,35086559,0.001,8,0.0011,0.2797,8,0.0144,0.0023,6,0.0368,0.0487,6,0.0842,0.0903,6,0.1211,0.273,8,-0.0
1829,0.1345,50,True,0.0938,0.1242,35086559,0.0411,10,0.0046,0.0009,10,0.0001,0.0006,5,0.0029,0.0188,5,0.0123,0.0433,5,0.0521,0.0006,10,0.0
183,0.026,50,True,0.006,0.022,29269392,0.0009,8,0.0055,0.3349,8,0.0035,0.1454,4,0.0706,0.0361,3,0.0307,0.0006,3,0.0089,0.3349,8,0.0
1830,0.1244,50,True,0.078,0.1137,35086559,0.0364,9,0.0042,0.005,9,0.0001,0.0017,5,0.0048,0.0077,5,0.0112,0.0308,4,0.0514,0.0039,9,0.0
184,0.2182,50,True,0.1006,0.1902,29083409,0.0955,9,0.0275,0.1109,9,0.0008,0.1647,9,0.0681,0.0786,9,0.038,0.0279,9,0.0196,0.021,9,-0.0
1843,0.3561,50,True,0.2292,0.3405,33355125,0.0195,7,0.004,0.0344,7,0.014,0.1122,5,0.086,0.1989,5,0.1537,0.3142,3,0.2099,0.0098,6,0.0
1845,0.2794,50,True,0.1413,0.2443,35559673,0.056,9,0.0264,0.0968,9,0.0042,0.0681,9,0.0422,0.018,9,0.0164,0.002,8,0.0044,0.0198,9,0.0
1846,0.2111,50,True,0.082,0.1712,35559673,0.0803,9,0.0303,0.0935,9,0.0019,0.0958,8,0.0443,0.039,8,0.0199,0.0074,8,0.0075,0.0091,9,0.0
1847,0.2811,50,True,0.1334,0.2432,35559673,0.0802,9,0.0291,0.1014,9,0.0034,0.1369,9,0.0573,0.0592,9,0.0296,0.0329,9,0.0141,0.0179,9,0.0
1848,0.2625,50,True,0.1263,0.2226,35559673,0.0865,9,0.0295,0.1041,9,0.0023,0.0774,9,0.0482,0.0309,9,0.0223,0.0058,9,0.0087,0.0189,9,0.0
1849,0.2414,50,True,0.1133,0.21,35559673,0.0528,9,0.0285,0.0891,9,0.0023,0.147,9,0.0632,0.0846,9,0.0324,0.0267,9,0.015,0.019,9,0.0
185,0.2085,50,True,0.0785,0.1711,29083409,0.1046,9,0.0297,0.122,9,0.0009,0.1424,9,0.0712,0.0707,9,0.0377,0.0288,9,0.018,0.0183,9,-0.0
1850,0.2691,50,True,0.0968,0.2225,35559673,0.0277,10,0.0305,0.0742,10,0.0038,0.1131,9,0.0498,0.0336,9,0.0217,0.0057,9,0.0077,0.0273,10,0.0
1851,0.2423,50,True,0.0693,0.2004,35559673,0.0378,10,0.03,0.0984,10,0.0028,0.1484,9,0.0566,0.0593,9,0.0292,0.021,9,0.0137,0.0157,10,0.0
1852,0.2716,50,True,0.121,0.2279,35559673,0.0663,9,0.0338,0.0994,9,0.0043,0.0972,9,0.0536,0.0429,9,0.0266,0.0165,9,0.0115,0.0284,9,0.0
1853,0.2974,50,True,0.1246,0.2575,35559673,0.0437,9,0.0288,0.069,9,0.0034,0.1183,8,0.0497,0.0607,8,0.0235,0.0116,8,0.0096,0.0229,8,-0.0
1854,0.3052,50,True,0.1496,0.2622,35559673,0.0606,9,0.0288,0.0688,9,0.0036,0.0804,9,0.0418,0.0212,9,0.0163,0.0026,8,0.0044,0.013,9,0.0
1855,0.2874,50,True,0.145,0.2525,35559673,0.0814,9,0.0278,0.0892,9,0.0027,0.1018,8,0.0535,0.0481,8,0.0264,0.0188,8,0.0114,0.0207,9,0.0
1856,0.2365,50,True,0.0736,0.1921,35559673,0.0846,10,0.0279,0.1013,10,0.0015,0.1231,9,0.0531,0.0682,9,0.0269,0.0403,9,0.0125,0.0286,10,0.0
1857,0.2698,50,True,0.1301,0.23,35559673,0.0474,9,0.0324,0.0817,9,0.0048,0.1215,9,0.0561,0.064,9,0.0277,0.0186,9,0.0122,0.0161,9,0.0
1858,0.2773,50,True,0.1271,0.2351,35559673,0.0943,9,0.03,0.1104,9,0.0032,0.0892,9,0.0533,0.0441,9,0.0252,0.0122,8,0.0101,0.019,9,0.0
1859,0.2691,50,True,0.1075,0.224,35559673,0.049,10,0.0299,0.0829,10,0.0046,0.1413,9,0.0559,0.0716,8,0.0276,0.0284,8,0.0121,0.0193,10,0.0
186,0.2483,50,True,0.1173,0.2176,29083409,0.0839,10,0.0329,0.1013,10,0.0038,0.1773,9,0.0765,0.0863,9,0.0451,0.0416,9,0.0252,0.0183,9,-0.0
1860,0.2938,50,True,0.1461,0.251,35559673,0.0354,10,0.027,0.0555,10,0.004,0.138,9,0.052,0.0663,9,0.0247,0.0272,8,0.0102,0.0244,10,-0.0
1861,0.3101,50,True,0.1378,0.2634,35559673,0.0361,9,0.0355,0.0691,9,0.0078,0.131,8,0.0578,0.0805,8,0.0291,0.0375,8,0.0132,0.0256,9,0.0
1862,0.121,50,True,0.1508,0.0979,35879413,0.0514,7,0.026,0.0007,7,0.0005,0.0047,1,0.0003,0.0599,1,0.0221,0.133,1,0.0706,0.0001,7,0.0
1863,0.196,50,True,0.2314,0.2018,35879413,0.0991,7,0.0576,0.017,7,0.0211,0.0117,4,0.007,0.055,4,0.0796,0.1263,3,0.1537,0.0149,7,0.0
1864,0.5708,50,True,0.4708,0.5623,35879413,0.0031,7,0.0022,0.0005,6,0.0031,0.0156,2,0.0199,0.048,1,0.1041,0.0875,1,0.1907,0.0011,6,-0.0
187,0.2352,50,True,0.1099,0.1985,29083409,0.0861,9,0.0283,0.109,9,0.0013,0.1193,9,0.0699,0.0617,9,0.0379,0.0284,9,0.0189,0.017,9,0.0
1879,0.1543,50,True,0.0957,0.141,35570209,0.0299,7,0.0613,0.0007,7,0.0224,0.0353,5,0.022,0.0078,4,0.0025,0.0006,4,0.0004,0.0012,7,0.0
188,0.2354,50,True,0.131,0.1987,29083409,0.0622,9,0.0245,0.0827,9,0.0015,0.1337,9,0.0638,0.0584,9,0.0357,0.0284,9,0.0187,0.0095,9,0.0
