target,u_z,cosine,delta,avg_rank,rpe1_u_z,rpe1_rank,rpe1_covered,depmap_chronos,depmap_n_lines,essential,depmap_covered,tier
PRDX5,2.2360760595914555,0.0258839256322169,0.0191210663018167,1160.3333333333333,,,False,-0.10942655609670178,1178.0,False,True,T1_reversal_not_explained_by_fitness
RBBP8,2.0509009037801684,0.0203087341258768,0.0257675792026082,1160.3333333333333,2.306390621884057,663.0,True,-0.9211387161613949,1178.0,True,True,T2_reversal_confounded_by_essentiality
STRIP1,2.159795181010464,0.02733265909289,0.0192279816553189,1160.6666666666667,0.3215487507037591,1762.0,True,-0.34675957233249216,1178.0,False,True,T1_reversal_not_explained_by_fitness
INTS1,3.240343313194866,0.0141909939728321,0.02240622532665,1161.6666666666667,2.0231359168423824,822.0,True,-0.8562090478546805,1178.0,True,True,T2_reversal_confounded_by_essentiality
ZNF140,2.132869868207347,0.0197205839313742,0.0252350477921844,1161.6666666666667,,,False,0.12055901743088149,1178.0,False,True,T1_reversal_not_explained_by_fitness
MSH3,2.4260643249464997,0.0163552121900816,0.0260961269365938,1164.3333333333333,,,False,-0.0698407439687534,1178.0,False,True,T1_reversal_not_explained_by_fitness
XPC,2.6006304747464677,0.0128241980811804,0.0332651332497742,1166.0,,,False,0.006420463667705167,1178.0,False,True,T1_reversal_not_explained_by_fitness
TOM1,1.8838941891190468,0.0353789771065285,0.0198108488133523,1166.6666666666667,,,False,-0.09789844722447555,1178.0,False,True,T1_reversal_not_explained_by_fitness
THOC5,1.5659982083128658,0.0211804153653929,0.0469051703813307,1168.3333333333333,2.3210323287166252,655.0,True,-1.2408533885935467,1178.0,True,True,T2_reversal_confounded_by_essentiality
B4GALT3,2.3212897828279764,0.0196253044955244,0.0223716065915879,1170.6666666666667,,,False,-0.1931100910571397,1178.0,False,True,T1_reversal_not_explained_by_fitness
PCBP2,2.693685951655061,0.0208566743133921,0.0178351155285154,1171.3333333333333,1.0271551691740366,1405.0,True,-1.2091589831098593,1178.0,True,True,T2_reversal_confounded_by_essentiality
CLIP1,2.3919526964729845,0.0174917503489859,0.0239986871370696,1172.0,,,False,-0.10412324148846046,1178.0,False,True,T1_reversal_not_explained_by_fitness
RPRD1A,1.8258216466475328,0.0332771035794968,0.0211166883249849,1172.0,,,False,-0.0004500280381431922,1178.0,False,True,T1_reversal_not_explained_by_fitness
TYRO3,2.573619989875996,0.0254236298270894,0.0163512716673937,1173.3333333333333,,,False,-0.2913177831962302,1178.0,False,True,T1_reversal_not_explained_by_fitness
RNPEPL1,2.263348126108739,0.0176038066600047,0.0253938888488573,1176.0,,,False,,,False,False,T3_no_fitness_data
TRIM41,2.243438594983568,0.02138005782952,0.0212506241028346,1176.3333333333333,,,False,-0.00485873666642156,1178.0,False,True,T1_reversal_not_explained_by_fitness
POU5F1,2.3875090360588103,0.0246184747496978,0.0179815515618501,1178.3333333333333,,,False,-0.07253060252264136,1178.0,False,True,T1_reversal_not_explained_by_fitness
WDR11,1.94893717929907,0.0265264436356089,0.0219566560911983,1178.3333333333333,,,False,-0.041069486474617396,1178.0,False,True,T1_reversal_not_explained_by_fitness
NDUFS6,2.037244038706241,0.024521920518897,0.0217224087295105,1178.6666666666667,,,False,-0.014380056031671086,1178.0,False,True,T1_reversal_not_explained_by_fitness
ZNF518A,2.4088560321661183,0.0147567759849934,0.0304841110707833,1178.6666666666667,,,False,,,False,False,T3_no_fitness_data
CCNA2,1.8693869448257128,0.019425313369722,0.0324276525699533,1181.3333333333333,0.7592312256816077,1550.0,True,-1.3130157528253878,1178.0,True,True,T2_reversal_confounded_by_essentiality
HYLS1,1.9862726398377704,0.0262638318252233,0.0212481881404935,1183.0,,,False,0.009589722750544353,1178.0,False,True,T1_reversal_not_explained_by_fitness
SWI5,2.535718180460979,0.0192333386803553,0.0201097043273908,1183.6666666666667,,,False,-0.16316010560769084,1059.0,False,True,T1_reversal_not_explained_by_fitness
TMEM63A,2.0730547138087054,0.0262908141417904,0.0200519595466401,1184.0,,,False,-0.008763663651871161,1178.0,False,True,T1_reversal_not_explained_by_fitness
NKTR,2.224134817216029,0.0183646611292672,0.0247301349769468,1184.6666666666667,,,False,-0.07500906046147682,1178.0,False,True,T1_reversal_not_explained_by_fitness
CD99L2,1.534587628326398,0.0238322429856879,0.0389859420333002,1186.3333333333333,,,False,0.023772752601357333,1178.0,False,True,T1_reversal_not_explained_by_fitness
PLK4,1.7255343302413615,0.0193882165249563,0.0385483358410222,1187.6666666666667,2.637179977924956,500.0,True,-1.1667134123403669,1178.0,True,True,T2_reversal_confounded_by_essentiality
CTNNBL1,2.1823600469377595,0.0146748776777982,0.0368465248285833,1188.0,1.4098121889910056,1198.0,True,-0.8991332406196869,1178.0,True,True,T2_reversal_confounded_by_essentiality
RILPL2,2.5273972085089467,0.0202171553625402,0.0191081782470996,1190.6666666666667,,,False,-0.16265934338030433,1178.0,False,True,T1_reversal_not_explained_by_fitness
CIT,1.6996565431235229,0.0293418353735488,0.0242394706357091,1191.0,,,False,-0.5015973414375201,1178.0,True,True,T2_reversal_confounded_by_essentiality
MCM8,2.389861562160432,0.023450226743687,0.0182921462911583,1191.3333333333333,,,False,-0.02648407207021136,1178.0,False,True,T1_reversal_not_explained_by_fitness
RCC1L,1.8393704543809468,0.0276472000376651,0.0226363550590205,1194.0,,,False,-0.27797526235979814,1178.0,False,True,T1_reversal_not_explained_by_fitness
GRAMD4,2.2174736772693726,0.0144600253804056,0.0354570888483354,1195.3333333333333,,,False,0.11134911964795857,1178.0,False,True,T1_reversal_not_explained_by_fitness
DNAJC3,2.4632690895906655,0.0317918194872517,0.0145659063906285,1196.3333333333333,,,False,0.0418696189863604,1178.0,False,True,T1_reversal_not_explained_by_fitness
ST20-MTHFS,2.437826955454608,0.0102386597438528,0.0596252344533591,1198.3333333333333,,,False,,,False,False,T3_no_fitness_data
FEZ1,2.490018182672068,0.0228542648395447,0.0176349060406207,1198.6666666666667,,,False,0.09543194874532525,1178.0,False,True,T1_reversal_not_explained_by_fitness
ATP6V1C1,1.7399544439383394,0.022665776916876,0.028999856027454,1198.6666666666667,-1.1963934599924806,2201.0,True,-1.088409979720564,1178.0,True,True,T2_reversal_confounded_by_essentiality
COPS7B,1.9826131547908032,0.0198547968276976,0.0258877393360937,1199.6666666666667,,,False,0.03287767211627553,1178.0,False,True,T1_reversal_not_explained_by_fitness
GNL3,2.7491881415340624,0.0077755500029467,0.0905226335988561,1204.3333333333333,3.1392922585820893,288.0,True,-1.2466413545192818,1178.0,True,True,T2_reversal_confounded_by_essentiality
NDUFB3,2.4142145638420347,0.026921224833926,0.0162248044789893,1204.6666666666667,0.7664345579935774,1546.0,True,-0.6515363041756171,1178.0,True,True,T2_reversal_confounded_by_essentiality
CCDC34,2.5831607901770175,0.0148902522890355,0.0249638378367753,1208.0,,,False,0.016867213282219462,1178.0,False,True,T1_reversal_not_explained_by_fitness
