perturbation,target,u_z,cosine,delta,rank_u_z,rank_cosine,rank_delta,avg_rank
10132_ZKSCAN7_P1P2_ENSG00000196345,ZKSCAN7,-0.8246039639165951,-0.01082852995330347,-0.005039297669443188,8801.0,7474.0,8108.0,8127.666666666667
802_BCL2L1_P2_ENSG00000171552,BCL2L1,-0.35039569324710346,-0.018954588336864118,-0.0038256676173956047,7513.0,9151.0,7730.0,8131.333333333333
5795_NR2F6_P1P2_ENSG00000160113,NR2F6,-0.520953835614679,-0.016617825027949524,-0.0036795240073483745,7993.0,8715.0,7688.0,8132.0
10034_ZCCHC17_P1P2_ENSG00000121766,ZCCHC17,-0.28474278889258586,-0.015968867892422182,-0.006530985493574437,7289.0,8574.0,8535.0,8132.666666666667
11027_non-targeting_non-targeting_non-targeting,,-0.7828684082618984,-0.010702466580409676,-0.005618940695947855,8689.0,7447.0,8267.0,8134.333333333333
4714_LUC7L2_P2_ENSG00000146963,LUC7L2,-0.4964435402952032,-0.019903332846835226,-0.002287642487078939,7920.0,9294.0,7197.0,8137.0
4974_MEOX1_P1P2_ENSG00000005102,MEOX1,-0.5487920611505361,-0.01259304000055526,-0.006370157115154351,8072.0,7863.0,8478.0,8137.666666666667
5921_OCEL1_P1P2_ENSG00000099330,OCEL1,-0.5908761391906582,-0.015780688115718283,-0.003661613255153866,8190.0,8540.0,7683.0,8137.666666666667
5142_MOCS3_P1P2_ENSG00000124217,MOCS3,-1.0108456136283155,-0.008641906367034543,-0.005718846414183415,9183.0,6942.0,8291.0,8138.666666666667
8629_SYNRG_P1P2_ENSG00000275066,SYNRG,-0.6813612635067385,-0.01130711486488817,-0.006073706815249171,8440.0,7591.0,8386.0,8139.0
2937_FAM72B_ENST00000369390.3_ENSG00000188610,FAM72B,-0.5842106485693966,-0.014929836327306715,-0.004254474529731216,8174.0,8380.0,7864.0,8139.333333333333
4016_ICMT_P1P2_ENSG00000116237,ICMT,-0.7550301827260413,-0.010579444360580415,-0.006086141014807226,8604.0,7422.0,8394.0,8140.0
11178_non-targeting_non-targeting_non-targeting,,-0.6523032096218923,-0.01314381986127638,-0.0048812534188279605,8368.0,7988.0,8066.0,8140.666666666667
4712_LTN1_P1P2_ENSG00000198862,LTN1,-0.637491008241311,-0.010726523883530752,-0.006916448712192625,8331.0,7451.0,8643.0,8141.666666666667
7370_RNF19A_P1P2_ENSG00000034677,RNF19A,-0.6061239935530213,-0.014635286217416946,-0.004321963245255817,8233.0,8302.0,7891.0,8142.0
6549_POLR2H_P1P2_ENSG00000163882,POLR2H,-0.3660802725610231,-0.021519454877772418,-0.0025668931905248812,7554.0,9565.0,7308.0,8142.333333333333
10765_non-targeting_non-targeting_non-targeting,,-0.7657908113760518,-0.011538974119141952,-0.005205568357524775,8636.0,7636.0,8162.0,8144.666666666667
778_BBS2_P1P2_ENSG00000125124,BBS2,-0.8434470361933362,-0.012059945885850248,-0.004195726393329612,8845.0,7745.0,7844.0,8144.666666666667
1848_CPT2_P1P2_ENSG00000157184,CPT2,-0.5327370796309397,-0.007766891879106445,-0.01185028656744536,8028.0,6709.0,9705.0,8147.333333333333
6232_PEX3_P1P2_ENSG00000034693,PEX3,-0.4732498341095716,-0.01735093827076082,-0.003825313538048266,7852.0,8862.0,7729.0,8147.666666666667
3262_GALE_P1P2_ENSG00000117308,GALE,-0.7347287537750092,-0.010406686846910084,-0.006458076315117209,8556.0,7381.0,8506.0,8147.666666666667
2668_EPHB6_P1P2_ENSG00000106123,EPHB6,-0.8205040083615596,-0.009674612228432806,-0.00631407434072638,8790.0,7193.0,8465.0,8149.333333333333
581_ASH2L_P1P2_ENSG00000129691,ASH2L,-0.5795491616643313,-0.007695415453467687,-0.011262010733913242,8164.0,6694.0,9595.0,8151.0
8425_SRRM2_P1P2_ENSG00000167978,SRRM2,0.05101496416664903,-0.029105688571791282,-0.0038270939647651638,6260.0,10462.0,7732.0,8151.333333333333
3604_GXYLT1_P1P2_ENSG00000151233,GXYLT1,-0.7959815630135306,-0.013154779237206099,-0.0038387449134539026,8729.0,7991.0,7736.0,8152.0
9302_TRMT10C_P1P2_ENSG00000174173,TRMT10C,-0.1549066226461113,-0.01504474173079911,-0.009041431127199009,6915.0,8406.0,9139.0,8153.333333333333
1072_C2CD2_P1P2_ENSG00000157617,C2CD2,-0.6231580251406897,-0.01336081134592413,-0.005117777406447647,8283.0,8042.0,8137.0,8154.0
3367_GIGYF2_P1P2_ENSG00000204120,GIGYF2,-0.5023078879944178,-0.020205459570748215,-0.002276893904780298,7939.0,9345.0,7188.0,8157.333333333333
9290_TRIOBP_P2_ENSG00000100106,TRIOBP,-0.5806873164195472,-0.018007303679048802,-0.0026373047673048933,8165.0,8979.0,7332.0,8158.666666666667
808_BCL7C_P1P2_ENSG00000099385,BCL7C,-0.699615123443396,-0.009703261733496137,-0.007570030148948819,8488.0,7199.0,8797.0,8161.333333333333
8115_SLC9A3R2_P1_ENSG00000065054,SLC9A3R2,-0.27402572554075355,-0.02651534347090669,-0.0017485724885851275,7257.0,10217.0,7010.0,8161.333333333333
4496_LACTB_P1P2_ENSG00000103642,LACTB,-0.9554031160438134,-0.009416960816493387,-0.005713676518222251,9065.0,7136.0,8289.0,8163.333333333333
2939_FAM72D_ENST00000400889.1_ENSG00000215784,FAM72D,-0.6463783290696598,-0.017685816894484285,-0.002341623777492389,8353.0,8924.0,7215.0,8164.0
5173_MPP5_P1P2_ENSG00000072415,MPP5,-0.7763336135351714,-0.010040543874807791,-0.006558726910891965,8671.0,7289.0,8539.0,8166.333333333333
5226_MRPL43_P1P2_ENSG00000055950,MRPL43,-1.1593268141280295,0.0013430732421145612,-0.022178533050448174,9487.0,4279.0,10737.0,8167.666666666667
502_ARL15_P1P2_ENSG00000185305,ARL15,-0.4696911852187371,-0.01677395155053517,-0.004406244169105273,7842.0,8742.0,7919.0,8167.666666666667
2617_EMC8_P1P2_ENSG00000131148,EMC8,-1.4302055581027937,-0.004376643036226366,-0.00735950288766702,9987.0,5778.0,8741.0,8168.666666666667
10402_ZNF501_P1P2_ENSG00000186446,ZNF501,-0.7323326623752093,-0.011400275595599016,-0.005925799442746781,8546.0,7611.0,8349.0,8168.666666666667
312_ANGPT1_P1P2_ENSG00000154188,ANGPT1,-0.5532792868628886,-0.015617222374020242,-0.004402455897633386,8080.0,8510.0,7917.0,8169.0
9201_TPGS2_P1P2_ENSG00000134779,TPGS2,-0.8723054149973772,-0.0100455721247602,-0.005763416549218739,8912.0,7290.0,8310.0,8170.666666666667
3188_FOXP3_P1P2_ENSG00000049768,FOXP3,-0.6185049602521513,-0.0160738385986967,-0.0035551964924055157,8269.0,8609.0,7640.0,8172.666666666667
635_ATOH1_P1P2_ENSG00000172238,ATOH1,-0.38516080119329127,-0.01906653904433997,-0.0038469929936212326,7614.0,9168.0,7740.0,8174.0
2884_FAM185A_P1P2_ENSG00000222011,FAM185A,-1.1327413179308636,-0.008036638686137559,-0.00573882698750758,9432.0,6789.0,8303.0,8174.666666666667
4806_MAP3K11_P1_ENSG00000173327,MAP3K11,-0.56809148824347,-0.013606823417182397,-0.00574317168618609,8128.0,8091.0,8305.0,8174.666666666667
9951_YWHAB_P1P2_ENSG00000166913,YWHAB,-0.7057142651883412,-0.012473003234690529,-0.005293184444215114,8502.0,7833.0,8189.0,8174.666666666667
7819_SETD5_P1P2_ENSG00000168137,SETD5,-1.2561196101639676,0.0012293266119452367,-0.019015280696739016,9674.0,4313.0,10538.0,8175.0
3318_GCHFR_P1P2_ENSG00000137880,GCHFR,-1.0520148204066957,-0.007106457007790489,-0.007320633449532355,9269.0,6525.0,8733.0,8175.666666666667
5453_NAGPA_P1P2_ENSG00000103174,NAGPA,-0.7890546806031999,-0.015477136701872042,-0.0026426962893487645,8708.0,8486.0,7334.0,8176.0
178_AFTPH_P1P2_ENSG00000119844,AFTPH,-1.0026989028689957,-0.008659483703410001,-0.006139462757870634,9171.0,6946.0,8411.0,8176.0
