screen_id,r2_size_alone,r2_size_raw,n_hits,n_measured,n_sets_used,source_id,cell_line,phenotype,library
462,0.2086,0.175,2088,17667,50,29083409,SLR23,cell proliferation,Avana
463,0.2072,0.1751,1758,17667,50,29083409,SLR26,cell proliferation,Avana
464,0.2311,0.1952,1810,17667,50,29083409,SNG-M,cell proliferation,Avana
465,0.2759,0.2331,2210,17667,50,29083409,SNU-1,cell proliferation,Avana
466,0.3064,0.2552,2178,17667,50,29083409,SNU-8,cell proliferation,Avana
467,0.2072,0.1715,1784,17667,50,29083409,SNU-201,cell proliferation,Avana
468,0.2467,0.2115,1878,17667,50,29083409,SNU-213,cell proliferation,Avana
469,0.2428,0.2007,1712,17667,50,29083409,SNU-349,cell proliferation,Avana
470,0.2312,0.1947,2022,17667,50,29083409,SNU-398,cell proliferation,Avana
471,0.2103,0.1889,1809,17667,50,29083409,SNU-410,cell proliferation,Avana
472,0.2329,0.1976,1935,17667,50,29083409,SNU-449,cell proliferation,Avana
473,0.2483,0.2165,1571,17667,50,29083409,SNU-503,cell proliferation,Avana
474,0.2213,0.1876,1921,17667,50,29083409,SNU-685,cell proliferation,Avana
475,0.3109,0.2609,1623,17667,50,29083409,SNU-840,cell proliferation,Avana
476,0.2448,0.2042,1839,17667,50,29083409,SUIT-2,cell proliferation,Avana
477,0.2718,0.2196,2186,17667,50,29083409,SUP-M2,cell proliferation,Avana
478,0.2491,0.2196,1437,17667,50,29083409,SUP-T1,cell proliferation,Avana
479,0.2406,0.1934,1642,17667,50,29083409,SW48,cell proliferation,Avana
480,0.2143,0.1793,1292,17667,50,29083409,SW403,cell proliferation,Avana
481,0.2256,0.1945,1918,17667,50,29083409,SW620,cell proliferation,Avana
482,0.2656,0.2236,2024,17667,50,29083409,SW837,cell proliferation,Avana
483,0.2099,0.179,1798,17667,50,29083409,SW1463,cell proliferation,Avana
484,0.2567,0.2214,1795,17667,50,29083409,T3M-4,cell proliferation,Avana
485,0.2309,0.1927,1892,17667,50,29083409,T24,cell proliferation,Avana
486,0.2142,0.1824,2082,17667,50,29083409,T84,cell proliferation,Avana
487,0.249,0.2144,1839,17667,50,29083409,T98G,cell proliferation,Avana
488,0.2552,0.2211,2110,17667,50,29083409,TCC-Pan2,cell proliferation,Avana
489,0.2151,0.1807,2050,17667,50,29083409,TCCSUP,cell proliferation,Avana
490,0.2927,0.2358,1886,17667,50,29083409,TE-1,cell proliferation,Avana
491,0.1847,0.154,1748,17667,50,29083409,TE-5,cell proliferation,Avana
492,0.2244,0.1879,1872,17667,50,29083409,TEN,cell proliferation,Avana
493,0.2663,0.2114,2041,17667,50,29083409,TF-1,cell proliferation,Avana
494,0.2817,0.2281,2187,17667,50,29083409,TOV-21G,cell proliferation,Avana
495,0.1931,0.1659,1816,17667,50,29083409,U-118MG,cell proliferation,Avana
496,0.2143,0.1815,1492,17667,50,29083409,U-178MG,cell proliferation,Avana
497,0.2423,0.2046,1702,17667,50,29083409,UOK101,cell proliferation,Avana
498,0.2203,0.1856,2019,17667,50,29083409,WM1799,cell proliferation,Avana
5,0.4128,0.3775,1344,15964,50,25307932,K-562,cell proliferation,"CRISPRi (Weissman, 2014)"
503,0.2357,0.2005,1391,18784,50,28985567,BJAB,cell proliferation,GECKO v2
504,0.5959,0.5428,2741,18784,50,28985567,SU-DHL-4,cell proliferation,GECKO v2
505,0.3378,0.34,432,18784,50,28985567,Pfeiffer,cell proliferation,GECKO v2
506,0.4604,0.4231,2259,18784,50,28985567,OCI-Ly3,cell proliferation,GECKO v2
507,0.2123,0.2131,416,18784,50,28985567,HBL-1,cell proliferation,GECKO v2
508,0.5573,0.528,1571,18784,50,28985567,TMD8,cell proliferation,GECKO v2
509,0.2218,0.1845,1914,17667,50,29083409,C2BBe1,cell proliferation,Avana
510,0.2319,0.199,1906,17667,50,29083409,C32,cell proliferation,Avana
511,0.1963,0.1631,1624,17667,50,29083409,Caki-1,cell proliferation,Avana
512,0.2421,0.2056,1530,17667,50,29083409,Caki-2,cell proliferation,Avana
513,0.2631,0.2138,2267,17667,50,29083409,CAL-51,cell proliferation,Avana
514,0.2338,0.1986,1986,17667,50,29083409,KYSE-30,cell proliferation,Avana
515,0.217,0.1934,1578,17667,50,29083409,HEC-6,cell proliferation,Avana
516,0.1935,0.1681,1737,17667,50,29083409,CAL-78,cell proliferation,Avana
517,0.2264,0.2068,1867,17667,50,29083409,Calu-6,cell proliferation,Avana
518,0.2299,0.2095,1566,17667,50,29083409,CAMA-1,cell proliferation,Avana
519,0.223,0.1835,1730,17667,50,29083409,CAS-1,cell proliferation,Avana
520,0.2461,0.2088,1876,17667,50,29083409,CCF-STTG1,cell proliferation,Avana
521,0.1905,0.1651,1135,17667,50,29083409,CCK-81,cell proliferation,Avana
522,0.2476,0.2175,1760,17667,50,29083409,ChaGo-K-1,cell proliferation,Avana
523,0.2511,0.2092,2083,17667,50,29083409,CHP-212,cell proliferation,Avana
524,0.2304,0.192,1848,17667,50,29083409,CL-40,cell proliferation,Avana
525,0.1926,0.1661,1540,17667,50,29083409,COLO 678,cell proliferation,Avana
526,0.2269,0.1879,1929,17667,50,29083409,COLO 679,cell proliferation,Avana
