gene_symbol,rank,average_rank,reversal_score_wilcoxon,reversal_score_cosine,reversal_effect_size,q_value,rpe1_rank,rpe1_covered,depmap_gene_effect,depmap_n_cell_lines,is_essential,tier,tier_label
RPLP2,2008,2260.6666666666665,2.398400161635219,-0.0063643599579328,0.0330569845910512,0.13542336081464496,875.0,True,-1.2670062842068508,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
WDR66,2009,2261.6666666666665,0.8550274375312148,0.011853035957341,0.0127249824975945,0.6957704570682357,,False,,,False,T3_no_fitness_data,No fitness data available for this gene
ADA,2010,2261.6666666666665,1.1746038012685394,0.0082144313126744,0.0122683043434627,0.5552773508779393,,False,-0.0467457910131684,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ARHGAP17,2011,2262.0,1.153337659330626,0.0023296073382852,0.0227036597263003,0.564365736435799,,False,0.007887949311493,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
PIF1,2012,2263.0,0.8588249628772707,0.017886374285141,0.0090556377874547,0.6948373053922583,,False,-0.0613824766720348,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
EIF3C,2013,2263.3333333333335,1.3187344940180787,0.0025691794573488,0.0183989365435682,0.4938676064937989,,False,,,False,T3_no_fitness_data,No fitness data available for this gene
ZNF318,2014,2264.3333333333335,0.8813179976192945,0.0075055455389717,0.0170817233895699,0.6845637046961571,,False,-0.1207702710392619,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
DDX54,2015,2266.3333333333335,2.4016718757795132,-0.0072371848173393,0.0409902034787369,0.13519822636138284,604.0,True,-1.4608209661888107,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
MAP3K4,2016,2269.6666666666665,1.1883917394480656,0.0049843765644682,0.016056927205318,0.5504742567842055,,False,-0.0053739175364733,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
LITAF,2017,2269.6666666666665,1.1127088997340775,0.0126787163963182,0.0088945839787874,0.5838453162674153,,False,0.0478126117156079,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
KDM8,2018,2270.0,1.0586332195466766,0.0076926058444611,0.0140451433104549,0.6090064556123126,98.0,True,-0.5106306322175954,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
PDLIM1,2019,2270.3333333333335,0.8744240285295314,0.0186117488930698,0.0084343115953186,0.6877760493861136,,False,-0.0548663498867496,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
ELOVL2,2020,2271.3333333333335,1.035322256268579,0.0074241920154335,0.0145554481845047,0.6195269345227705,,False,0.0036559592456708,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
DNAJB12,2021,2272.3333333333335,1.3790275118200748,0.0056609927128591,0.0127206928834957,0.47091839527176427,,False,-0.2531817020160999,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
MAP1LC3B,2022,2272.3333333333335,1.2125790547290989,0.0074753972155187,0.0124455511568876,0.5404482923561649,,False,-0.2809105599691087,1059.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
COX5B,2023,2272.3333333333335,1.2373506046787563,0.0134534999499174,0.0070980459511607,0.5281866879957277,1366.0,True,-0.4048057682307114,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
SRPK2,2024,2273.0,1.012011292990482,0.0070096377970463,0.0154698060762476,0.6284240490000661,,False,-0.0375147508831875,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
THUMPD2,2025,2273.3333333333335,1.0981441911645926,0.0134728098352742,0.0084662793021349,0.5913471066095763,,False,-0.1109196487876872,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TBX3,2026,2276.0,1.3760479150100924,0.0071675447430875,0.0108912400867241,0.4716870059684175,,False,-0.1676965927368137,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CTTN,2027,2278.3333333333335,0.917832664408294,0.0104157694980983,0.0127431262449311,0.6704316697807429,,False,-0.2150019312165083,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TMEM170A,2028,2278.3333333333335,1.4890388999219728,0.0033655701933638,0.0142027536634813,0.4315897414531083,,False,-0.0182232411430142,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
EFCAB2,2029,2280.0,1.3374300034140465,0.0069657076171398,0.011537237771604,0.4870102045301001,,False,-0.1264187462002535,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CDK5RAP3,2030,2281.6666666666665,0.9787683403457766,0.0086829116528384,0.013715141280825,0.6428270059852345,,False,-0.3492173930019582,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
FUBP3,2031,2282.6666666666665,1.5648725599093671,0.00451768204045,0.012121955224226,0.3979703762155258,,False,0.082375247144595,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
CAP1,2032,2283.0,1.4345882288062166,0.001746823988413,0.0174131816943639,0.45241483003520494,2287.0,True,-0.3487294522337751,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
FARP2,2033,2283.3333333333335,1.251489083659457,0.0088094028911487,0.0103629908926313,0.5218148461651441,,False,0.042969344859156,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
RPRD1A,2034,2285.6666666666665,0.8067112304360106,0.0183491277094262,0.0091315315345621,0.7159863487727504,,False,-0.0004500280381431,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
TSEN54,2035,2286.0,1.0761602596053963,0.007148714706773,0.014193127965491,0.6007997619877533,2025.0,True,-0.8319370934860308,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
ZNRD1,2036,2287.6666666666665,1.8163271612851344,-0.0063536085669976,0.0737586107948612,0.3014691819298889,1241.0,True,,,False,T3_no_fitness_data,No fitness data available for this gene
SAMD1,2037,2288.3333333333335,1.2220436563608077,0.0073775742060263,0.012193741444323,0.5363636659716365,,False,,,False,T3_no_fitness_data,No fitness data available for this gene
LCMT1,2038,2289.0,1.9346346816814928,-0.0009055208074418,0.0169292710018413,0.26256359592162754,,False,-0.3382182955921985,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
RPS20,2039,2291.0,3.0510487099550825,-0.0086987051404372,0.0449012465134,0.03726145974974168,830.0,True,-2.662557699882153,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
CHMP1B,2040,2291.0,1.132422058193887,0.0068168921908999,0.0138548661209693,0.574715680033655,,False,0.0225696493108755,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
NFATC2,2041,2291.0,1.2622974250290009,0.0035402938431441,0.0165362939916684,0.5173999613177491,,False,0.0275151206691571,1178.0,False,T1_reversal_not_explained_by_fitness,Signal is not explained by the gene being essential
NOC4L,2042,2293.6666666666665,3.0977290599781395,-0.0096767334906448,0.080818919333554,0.03336502088217564,512.0,True,-0.948355763190581,1178.0,True,T2_reversal_confounded_by_essentiality,Gene is essential - signal may just be the cell dying
