pathway_id	n_unique_reactions	n_reaction_slots
PWY-601	17	17
PWY-5464	24	24
PWY-5466	11	11
TCA	11	11
PWY-1361	7	7
AEROBACTINSYN-PWY	4	4
METHANOGENESIS-PWY	6	6
PWY-6861	12	12
PWY-6863	11	11
PWY-1121	20	20
PWY-5114	23	23
PWY-5280	5	5
PWY-5283	9	9
PWY-5287	17	17
PWY-7836	22	22
GALLATE-DEGRADATION-I-PWY	5	5
PRPP-PWY	49	49
PWY-6467	5	5
PWY-6309	17	17
URSIN-PWY	7	7
PWY-7286	4	4
PWY-7287	19	19
PWY-7282	10	10
PWY-7283	6	6
PWY-6138	5	5
REDCITCYC	10	10
PWY-7351	5	5
PWY-7352	19	19
PWY66-409	17	17
PWY-7354	13	13
PWY-7356	7	7
PWY-7357	6	6
GALACTITOLCAT-PWY	5	5
HISDEG-PWY	4	4
PWY-7035	14	14
P23-PWY	13	13
PWY-7036	16	16
PWY-7031	6	6
PWY0-1319	4	4
P601-PWY	8	8
PWY-3041	10	10
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	19	19
METHYLGALLATE-DEGRADATION-PWY	6	6
PWY-5855	8	8
PWY-5857	8	8
PWY-5856	8	8
PWY-4702	14	14
LPSSYN-PWY	26	26
PWY-7723	8	8
PWY-7722	5	5
PWY-7725	6	6
PWY-7724	7	7
PWY-7726	13	13
PWY-8188	10	10
PWY-8189	10	10
PWY-8181	14	14
PWY-8182	9	9
PWY-8187	5	5
PWY0-881	17	17
PWY1G-0	6	6
COMPLETE-ARO-PWY	17	17
PWY-561	15	15
PWY-7619	5	5
PWY-6748	5	5
PWY-6749	10	10
PWY-5270	13	13
PWY-5273	8	8
PWY-702	6	6
PWY-5071	14	14
PWY3O-4107	5	5
PWY-7021	15	15
GALACTARDEG-PWY	4	4
PWY-7507	9	9
PWY-361	15	15
PWY-5470	6	6
PWY-6920	6	6
PWY-6922	7	7
PWY-6928	44	44
LACTOSECAT-PWY	4	4
PWY-7575	11	11
