cohort	pathway_id	size	hits	n_tested
ThomasAM_2018a	P122-PWY	18	0	1
ThomasAM_2018a	PWY-7446	5	0	2
ThomasAM_2018a	PWY-6837	5	0	1
ThomasAM_2018a	PWY-4984	5	0	3
ThomasAM_2018a	GLYCOL-GLYOXDEG-PWY	4	0	2
ThomasAM_2018a	ARGDEG-PWY	11	0	1
ThomasAM_2018a	ORNARGDEG-PWY	11	0	1
ThomasAM_2018a	ARGININE-SYN4-PWY	4	0	27
ThomasAM_2018a	LPSSYN-PWY	26	0	1
ThomasAM_2018a	PWY-5656	4	0	1
ThomasAM_2018a	PWY0-1338	6	0	2
ThomasAM_2018a	FOLSYN-PWY	12	0	1
ThomasAM_2018a	PWY-5030	6	0	19
ThomasAM_2018a	PWY-6876	5	0	1
ThomasAM_2018a	KDO-NAGLIPASYN-PWY	17	0	1
ThomasAM_2018a	AEROBACTINSYN-PWY	4	0	1
ThomasAM_2018a	PWY-6731	4	0	1
ThomasAM_2018a	PWY-6612	10	0	1
ThomasAM_2018a	PWY-6823	6	0	1
ThomasAM_2018a	PWY-5705	4	0	2
ThomasAM_2018a	PWY-6749	10	0	2
ThomasAM_2018a	PWY0-41	8	0	2
ThomasAM_2018a	PWY0-1533	4	0	2
ThomasAM_2018a	P162-PWY	10	0	1
ThomasAM_2018a	PWY-6595	6	0	1
ThomasAM_2018a	P163-PWY	10	0	1
ThomasAM_2018a	NONMEVIPP-PWY	9	0	3
ThomasAM_2018a	PWY-7316	4	0	2
ThomasAM_2018a	PWY-7198	7	0	3
ThomasAM_2018a	PWYG-321	205	0	5
ThomasAM_2018a	P124-PWY	15	0	3
ThomasAM_2018a	PWY-6545	9	0	2
ThomasAM_2018a	PWY-5941	6	0	3
ThomasAM_2018a	PWY-6143	6	0	1
