cohort	pathway_id	size_members_measured	hits_FDR10	hits_nominal05	size_reactions
ThomasAM_2018a	PWY66-409	1	0	1	17
ThomasAM_2018a	FUC-RHAMCAT-PWY	2	0	1	12
ThomasAM_2018a	NAGLIPASYN-PWY	7	0	1	6
ThomasAM_2018a	PWY-561	1	0	1	15
ThomasAM_2018a	PWY-5690	2	0	1	10
ThomasAM_2018a	PWY-6125	26	0	2	8
ThomasAM_2018a	GLUCOSE1PMETAB-PWY	5	0	3	5
ThomasAM_2018a	GALACT-GLUCUROCAT-PWY	2	0	2	11
ThomasAM_2018a	PWY-6891	2	0	1	7
ThomasAM_2018a	PWY-6471	1	0	0	16
ThomasAM_2018a	PYRIDNUCSAL-PWY	1	0	1	7
ThomasAM_2018a	PWY-7234	13	0	3	6
ThomasAM_2018a	PWY-6168	25	0	3	9
ThomasAM_2018a	PENTOSE-P-PWY	7	0	1	8
ThomasAM_2018a	PYRIDOXSYN-PWY	17	0	1	7
ThomasAM_2018a	PWY-7117	2	0	1	14
ThomasAM_2018a	PWY-7282	7	0	1	10
ThomasAM_2018a	PWY-5138	5	0	1	5
ThomasAM_2018a	PWY-5861	2	0	1	9
ThomasAM_2018a	PWY-5659	17	0	1	4
ThomasAM_2018a	PWY-7228	28	0	2	6
ThomasAM_2018a	ENTBACSYN-PWY	2	0	1	11
ThomasAM_2018a	PWY-7003	1	0	0	16
ThomasAM_2018a	PWY-7254	1	0	1	10
ThomasAM_2018a	OANTIGEN-PWY	3	0	1	10
ThomasAM_2018a	GLUCUROCAT-PWY	4	0	2	7
ThomasAM_2018a	PWY-7237	39	0	4	10
ThomasAM_2018a	PWY-5860	2	0	1	9
ThomasAM_2018a	PWY-5862	2	0	1	9
ThomasAM_2018a	PWY-6317	19	0	2	5
ThomasAM_2018a	HEMESYN2-PWY	3	0	1	4
ThomasAM_2018a	PWY0-1241	6	0	1	5
ThomasAM_2018a	HEME-BIOSYNTHESIS-II	1	0	1	4
ThomasAM_2018a	GLUCARDEG-PWY	2	0	1	4
ThomasAM_2018a	PWY-5918	1	0	1	10
ThomasAM_2018a	PWY-6606	7	0	2	4
ThomasAM_2018a	PWY-7094	1	0	1	6
ThomasAM_2018a	PWY-7184	7	0	1	9
ThomasAM_2018a	THISYNARA-PWY	26	0	1	7
ThomasAM_2018a	PWY-7315	3	0	1	4
ThomasAM_2018a	POLYISOPRENSYN-PWY	2	0	1	6
ThomasAM_2018a	PWY-6803	2	0	1	4
ThomasAM_2018a	PWY-5384	7	0	2	4
ThomasAM_2018a	KETOGLUCONMET-PWY	2	0	1	8
ThomasAM_2018a	POLYAMSYN-PWY	2	0	1	8
ThomasAM_2018a	PWY0-1415	1	0	1	6
ThomasAM_2018a	PWY-5675	1	0	1	4
ThomasAM_2018a	PWY0-1277	1	0	1	9
ThomasAM_2018a	PWY-6147	23	0	2	5
ThomasAM_2018a	GOLPDLCAT-PWY	4	0	0	4
ThomasAM_2018a	NAD-BIOSYNTHESIS-II	3	0	1	5
ThomasAM_2018a	PWY-7323	2	0	1	6
ThomasAM_2018a	PWY-5837	2	0	1	7
ThomasAM_2018a	PPGPPMET-PWY	3	0	1	6
ThomasAM_2018a	PWY-5367	3	0	1	6
ThomasAM_2018a	PWY-7385	1	0	0	9
ThomasAM_2018a	PWY-5920	1	0	1	8
ThomasAM_2018a	PWY-6531	2	0	1	5
ThomasAM_2018a	PWY-5863	2	0	1	16
ThomasAM_2018a	HCAMHPDEG-PWY	1	0	1	5
ThomasAM_2018a	PWY-6690	1	0	1	5
ThomasAM_2018a	PWY-6630	2	0	1	10
ThomasAM_2018a	PWY-5189	3	0	1	4
ThomasAM_2018a	CITRULBIO-PWY	5	0	1	8
ThomasAM_2018a	PWY-7204	1	0	1	9
ThomasAM_2018a	PWY-4702	2	0	1	14
ThomasAM_2018a	PWY-2941	5	0	0	9
ThomasAM_2018a	P185-PWY	1	0	0	12
ThomasAM_2018a	UBISYN-PWY	2	0	0	13
ThomasAM_2018a	PWY0-42	2	0	1	5
