cohort	pathway_id	size	hits	n_strata_cols
FengQ_2015	PWY-5675	4	15	15
FengQ_2015	PWY0-881	17	2	2
FengQ_2015	HCAMHPDEG-PWY	5	10	10
FengQ_2015	PWY-6690	5	10	10
FengQ_2015	METHGLYUT-PWY	8	3	3
FengQ_2015	PWY0-1415	6	11	11
FengQ_2015	PWY0-42	5	10	10
FengQ_2015	PWY-5845	10	12	12
FengQ_2015	PWY-5850	10	12	12
FengQ_2015	PWY-5896	10	12	12
FengQ_2015	PWY-5863	16	15	15
FengQ_2015	PWY-5860	9	12	12
FengQ_2015	PWY-5862	9	12	12
FengQ_2015	AST-PWY	5	15	15
FengQ_2015	PWY0-1338	6	16	16
FengQ_2015	PWY-7269	5	9	9
FengQ_2015	PWY-7204	9	9	9
FengQ_2015	PWY-5705	4	6	6
FengQ_2015	ECASYN-PWY	10	18	18
FengQ_2015	GLYCOL-GLYOXDEG-PWY	4	7	7
FengQ_2015	P164-PWY	15	13	13
FengQ_2015	PWY-6749	10	3	3
FengQ_2015	PWY-5910	10	2	2
FengQ_2015	PWY-5677	7	1	1
FengQ_2015	PWY-7031	6	2	2
FengQ_2015	PWY-7391	8	1	1
FengQ_2015	PWY-6901	17	15	15
FengQ_2015	PWY0-781	25	9	9
FengQ_2015	PRPP-PWY	49	3	3
FengQ_2015	ENTBACSYN-PWY	11	7	7
FengQ_2015	PWY-7115	11	2	2
FengQ_2015	PWY-561	15	4	4
FengQ_2015	GALACT-GLUCUROCAT-PWY	11	10	10
FengQ_2015	PWY-7209	5	1	1
FengQ_2015	PWY-5920	8	5	5
FengQ_2015	PWY-5656	4	2	2
FengQ_2015	PWY-6545	9	17	17
FengQ_2015	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	8	6	6
FengQ_2015	P122-PWY	18	7	7
FengQ_2015	LPSSYN-PWY	26	2	2
FengQ_2015	PWY-7094	6	15	15
FengQ_2015	PWY-7039	5	3	3
FengQ_2015	UBISYN-PWY	13	12	12
FengQ_2015	PWY-5855	8	15	15
FengQ_2015	PWY-5856	8	15	15
FengQ_2015	PWY-5857	8	15	15
FengQ_2015	PWY-6708	8	15	15
FengQ_2015	PWY-6823	6	3	3
FengQ_2015	REDCITCYC	10	5	5
FengQ_2015	P221-PWY	5	7	7
FengQ_2015	KDO-NAGLIPASYN-PWY	17	7	7
FengQ_2015	PWY-6071	12	2	2
FengQ_2015	PWY0-321	10	2	2
FengQ_2015	PWY0-41	8	4	4
FengQ_2015	PWY-5005	8	8	8
FengQ_2015	PWY0-1533	4	3	3
FengQ_2015	PWY-3801	19	2	2
FengQ_2015	PWY-7345	15	2	2
FengQ_2015	PWY-3781	4	6	6
FengQ_2015	PWY-7279	4	6	6
FengQ_2015	PWY-7118	4	2	2
FengQ_2015	PWY-7328	6	4	4
FengQ_2015	PWY-7211	18	6	6
FengQ_2015	PWY-6470	17	7	7
FengQ_2015	PWY-5692	4	5	5
FengQ_2015	URDEGR-PWY	4	5	5
FengQ_2015	P163-PWY	10	4	4
FengQ_2015	P108-PWY	7	5	5
FengQ_2015	P162-PWY	10	1	1
FengQ_2015	PWY-7385	9	1	1
FengQ_2015	PWY-6143	6	1	1
FengQ_2015	RUMP-PWY	6	2	2
FengQ_2015	LYSINE-DEG1-PWY	5	1	1
FengQ_2015	PWY-7196	10	2	2
FengQ_2015	PWY3DJ-35471	10	5	5
