cohort	pathway_id	size	hits	n_samples
ThomasAM_2018a	GLUCONEO-PWY	13	80	80
ThomasAM_2018a	PWY-7013	5	69	80
ThomasAM_2018a	PWY-6163	5	80	80
ThomasAM_2018a	TCA	11	80	80
ThomasAM_2018a	GLYCOGENSYNTH-PWY	4	80	80
ThomasAM_2018a	PANTOSYN-PWY	9	80	80
ThomasAM_2018a	PWY0-1261	12	80	80
ThomasAM_2018a	DAPLYSINESYN-PWY	9	80	80
ThomasAM_2018a	SER-GLYSYN-PWY	4	80	80
ThomasAM_2018a	PWY-6700	4	80	80
ThomasAM_2018a	PWY-6519	11	79	80
ThomasAM_2018a	PWY4LZ-257	9	74	80
ThomasAM_2018a	PWY-6305	4	80	80
ThomasAM_2018a	PWY-6285	53	46	80
ThomasAM_2018a	HEXITOLDEGSUPER-PWY	19	80	80
ThomasAM_2018a	PWY-5723	10	56	80
ThomasAM_2018a	BIOTIN-BIOSYNTHESIS-PWY	16	79	80
ThomasAM_2018a	P461-PWY	20	79	80
ThomasAM_2018a	PHOSLIPSYN-PWY	10	80	80
ThomasAM_2018a	P441-PWY	21	78	80
ThomasAM_2018a	FAO-PWY	7	76	80
ThomasAM_2018a	SALVADEHYPOX-PWY	5	80	80
ThomasAM_2018a	PWY-7383	7	77	80
ThomasAM_2018a	P161-PWY	5	74	80
ThomasAM_2018a	DTDPRHAMSYN-PWY	4	80	80
ThomasAM_2018a	GLYCOLYSIS-TCA-GLYOX-BYPASS	26	60	80
ThomasAM_2018a	PWY-6588	5	76	80
ThomasAM_2018a	PWY4FS-7	6	80	80
ThomasAM_2018a	PWY4FS-8	6	80	80
ThomasAM_2018a	TRPSYN-PWY	7	80	80
ThomasAM_2018a	FERMENTATION-PWY	17	77	80
ThomasAM_2018a	PWY-6123	6	80	80
ThomasAM_2018a	GALACTARDEG-PWY	4	71	80
ThomasAM_2018a	GLUCARGALACTSUPER-PWY	4	71	80
ThomasAM_2018a	UDPNAGSYN-PWY	5	80	80
ThomasAM_2018a	PWY-5345	12	68	80
ThomasAM_2018a	PWY0-1061	6	75	80
ThomasAM_2018a	PWY0-1297	7	77	80
ThomasAM_2018a	HISTSYN-PWY	11	80	80
ThomasAM_2018a	HOMOSER-METSYN-PWY	5	79	80
ThomasAM_2018a	PWY-4041	6	80	80
ThomasAM_2018a	PWY-6124	5	80	80
ThomasAM_2018a	RIBOSYN2-PWY	9	80	80
ThomasAM_2018a	PWY-6629	14	50	80
ThomasAM_2018a	PWY-6353	11	80	80
ThomasAM_2018a	FUCCAT-PWY	4	78	80
ThomasAM_2018a	PWY-5989	6	79	80
ThomasAM_2018a	PWY0-781	25	74	80
ThomasAM_2018a	P4-PWY	18	74	80
ThomasAM_2018a	PYRIDNUCSYN-PWY	6	80	80
ThomasAM_2018a	DENOVOPURINE2-PWY	27	80	80
ThomasAM_2018a	SULFATE-CYS-PWY	9	68	80
ThomasAM_2018a	HSERMETANA-PWY	4	80	80
ThomasAM_2018a	PWY-6901	17	80	80
ThomasAM_2018a	PWY-6284	20	57	80
ThomasAM_2018a	THISYN-PWY	12	80	80
ThomasAM_2018a	GLCMANNANAUT-PWY	5	80	80
ThomasAM_2018a	PWY-841	21	80	80
ThomasAM_2018a	PWY-6703	4	80	80
ThomasAM_2018a	GLYCOLYSIS-E-D	16	80	80
ThomasAM_2018a	PWY66-399	12	77	80
ThomasAM_2018a	TCA-GLYOX-BYPASS	13	60	80
ThomasAM_2018a	PWY-1269	5	80	80
